anio	anfitrion	estadio	ciudad	partido_orden	fecha	equipo_1	equipo_2	equipo_1_final	equipo_2_final
1930	Uruguay	Estadio Pocitos	Montevideo	(1)	1930-07-13	Francia	Mexico	4	1
1930	Uruguay	Estadio Parque Central	Montevideo	(2)	1930-07-13	Estados Unidos	Bélgica	3	0
1930	Uruguay	Estadio Parque Central	Montevideo	(3)	1930-07-14	Yugoslavia	Brasil	2	1
1930	Uruguay	Estadio Pocitos	Montevideo	(4)	1930-07-14	Rumania	Perú	3	1
1930	Uruguay	Estadio Parque Central	Montevideo	(5)	1930-07-15	Argentina	Francia	1	0
1930	Uruguay	Estadio Parque Central	Montevideo	(6)	1930-07-16	Chile	Mexico	3	0
1930	Uruguay	Estadio Parque Central	Montevideo	(7)	1930-07-17	Yugoslavia	Bolivia	4	0
1930	Uruguay	Estadio Parque Central	Montevideo	(8)	1930-07-17	Estados Unidos	Paraguay	3	0
1930	Uruguay	Estadio Centenario	Montevideo	(9)	1930-07-18	Uruguay	Perú	1	0
1930	Uruguay	Estadio Centenario	Montevideo	(10)	1930-07-19	Chile	Francia	1	0
1930	Uruguay	Estadio Centenario	Montevideo	(11)	1930-07-19	Argentina	Mexico	6	3
1930	Uruguay	Estadio Centenario	Montevideo	(12)	1930-07-20	Brasil	Bolivia	4	0
1930	Uruguay	Estadio Centenario	Montevideo	(13)	1930-07-20	Paraguay	Bélgica	1	0
1930	Uruguay	Estadio Centenario	Montevideo	(14)	1930-07-21	Uruguay	Rumania	4	0
1930	Uruguay	Estadio Centenario	Montevideo	(15)	1930-07-22	Argentina	Chile	3	1
1930	Uruguay	Estadio Centenario	Montevideo	(16)	1930-07-26	Argentina	Estados Unidos	6	1
1930	Uruguay	Estadio Centenario	Montevideo	(17)	1930-07-27	Uruguay	Yugoslavia	6	1
1930	Uruguay	Estadio Centenario	Montevideo	(18)	1930-07-30	Uruguay	Argentina	4	2
1934	Italia	Stadio Littoriale	Bologna	(1)	1934-05-27	Suecia	Argentina	1	1
1934	Italia	Stadio Benito Mussolini	Turin	(2)	1934-05-27	Austria	Francia	1	1
1934	Italia	Stadio Giovanni Berta	Florence	(3)	1934-05-27	Alemania	Bélgica	1	2
1934	Italia	Stadio Luigi Ferraris	Genoa	(4)	1934-05-27	España	Brasil	3	0
1934	Italia	Stadio Giorgio Ascarelli	Naples	(5)	1934-05-27	Hungría	Egipto	2	2
1934	Italia	Stadio San Siro	Milan	(6)	1934-05-27	Suiza	Países Bajos	2	1
1934	Italia	Stadio Nazionale PNF	Rome	(7)	1934-05-27	Italia	Estados Unidos	3	0
1934	Italia	Stadio Littorio	Trieste	(8)	1934-05-27	Checoslovaquia	Rumania	0	1
1934	Italia	Stadio Benito Mussolini	Turin	(9)	1934-05-31	Checoslovaquia	Suiza	1	1
1934	Italia	Stadio San Siro	Milan	(10)	1934-05-31	Alemania	Suecia	0	0
1934	Italia	Stadio Giovanni Berta	Florence	(11)	1934-05-31	Italia	España	1	1
1934	Italia	Stadio Littoriale	Bologna	(12)	1934-05-31	Austria	Hungría	1	0
1934	Italia	Stadio Giovanni Berta	Florence	(13)	1934-06-01	Italia	España	1	0
1934	Italia	Stadio San Siro	Milan	(14)	1934-06-03	Italia	Austria	1	0
1934	Italia	Stadio Nazionale PNF	Rome	(15)	1934-06-03	Checoslovaquia	Alemania	1	0
1934	Italia	Stadio Giorgio Ascarelli	Naples	(16)	1934-06-07	Alemania	Austria	3	1
1934	Italia	Stadio Nazionale PNF	Rome	(17)	1934-06-10	Italia	Checoslovaquia	0	0
1938	Francia	Parc des Princes	Paris	(1)	1938-06-04	Suiza	Alemania	1	1
1938	Francia	Vélodrome Municipal	Reims	(2)	1938-06-05	Hungría	Indias Orientales Holandesas	6	0
1938	Francia	Stade Olympique de Colombes	Paris	(3)	1938-06-05	Francia	Bélgica	3	1
1938	Francia	Stade Chapou	Toulouse	(4)	1938-06-05	Cuba	Rumania	1	1
1938	Francia	Stade Vélodrome	Marseille	(5)	1938-06-05	Italia	Noruega	2	1
1938	Francia	Stade de la Meinau	Strasbourg	(6)	1938-06-05	Brasil	Polonia	6	5
1938	Francia	Stade municipal	Le Havre	(7)	1938-06-05	Checoslovaquia	Países Bajos	3	0
1938	Francia	Stade Chapou	Toulouse	(8)	1938-06-09	Cuba	Rumania	2	1
1938	Francia	Parc des Princes	Paris	(9)	1938-06-09	Alemania	Suiza	2	4
1938	Francia	Parc Lescure	Bordeaux	(10)	1938-06-12	Brasil	Checoslovaquia	1	0
1938	Francia	Stade Victor Boucquey	Lille	(11)	1938-06-12	Suiza	Hungría	0	2
1938	Francia	Stade du Fort Carré	Antibes	(12)	1938-06-12	Suecia	Cuba	8	0
1938	Francia	Stade Olympique de Colombes	Paris	(13)	1938-06-12	Francia	Italia	1	3
1938	Francia	Parc Lescure	Bordeaux	(14)	1938-06-14	Brasil	Checoslovaquia	2	1
1938	Francia	Parc des Princes	Paris	(15)	1938-06-16	Hungría	Suecia	5	1
1938	Francia	Stade Vélodrome	Marseille	(16)	1938-06-16	Italia	Brasil	2	1
1938	Francia	Parc Lescure	Bordeaux	(17)	1938-06-19	Suecia	Brasil	2	4
1938	Francia	Stade Olympique de Colombes	Paris	(18)	1938-06-19	Hungría	Italia	2	4
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(1)	1950-06-24	Brasil	Mexico	4	0
1950	Brasil	Estádio Independência	Belo Horizonte	(5)	1950-06-25	Yugoslavia	Suiza	3	0
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(2)	1950-06-25	Inglaterra	Chile	2	0
1950	Brasil	Estádio Durival de Britto	Curitiba	(3)	1950-06-25	España	Estados Unidos	3	1
1950	Brasil	Estádio do Pacaembu	São Paulo	(4)	1950-06-25	Suecia	Italia	3	2
1950	Brasil	Estádio do Pacaembu	São Paulo	(6)	1950-06-28	Brasil	Suiza	2	1
1950	Brasil	Estádio dos Eucaliptos	Porto Alegre	(7)	1950-06-28	Yugoslavia	Mexico	4	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(8)	1950-06-29	España	Chile	2	0
1950	Brasil	Estádio Independência	Belo Horizonte	(10)	1950-06-29	Estados Unidos	Inglaterra	1	0
1950	Brasil	Estádio Durival Britto	Curitiba	(9)	1950-06-29	Suecia	Paraguay	2	2
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(11)	1950-07-01	Brasil	Yugoslavia	2	0
1950	Brasil	Estádio dos Eucaliptos	Porto Alegre	(14)	1950-07-02	Suiza	Mexico	2	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(12)	1950-07-02	España	Inglaterra	1	0
1950	Brasil	Estádio Ilha do Retiro	Recife	(15)	1950-07-02	Chile	Estados Unidos	5	2
1950	Brasil	Estádio do Pacaembu	São Paulo	(13)	1950-07-02	Italia	Paraguay	2	0
1950	Brasil	Estádio Independência	Belo Horizonte	(16)	1950-07-02	Uruguay	Bolivia	8	0
1950	Brasil	Estádio do Pacaembu	São Paulo	(17)	1950-07-09	Uruguay	España	2	2
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(18)	1950-07-09	Brasil	Suecia	7	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(19)	1950-07-13	Brasil	España	6	1
1950	Brasil	Estádio do Pacaembu	São Paulo	(20)	1950-07-13	Uruguay	Suecia	3	2
1950	Brasil	Estádio do Pacaembu	São Paulo	(21)	1950-07-16	Suecia	España	3	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(22)	1950-07-16	Uruguay	Brasil	2	1
1954	Suiza	Charmilles Stadium	Geneva	(3)	1954-06-16	Brasil	Mexico	5	0
