anio	anfitrion	partidos_crudo
1930	uruguay	(1)  13 July     France     4-1 (3-0)  Mexico    @ Estadio Pocitos, Montevideo
1930	uruguay	(5)  15 July     Argentina  1-0 (0-0)  France    @ Estadio Parque Central, Montevideo
1930	uruguay	(6)  16 July     Chile      3-0 (1-0)  Mexico    @ Estadio Parque Central, Montevideo
1930	uruguay	(10) 19 July     Chile      1-0 (0-0)  France    @ Estadio Centenario, Montevideo
1930	uruguay	(11) 19 July     Argentina  6-3 (3-1)  Mexico    @ Estadio Centenario, Montevideo
1930	uruguay	(15) 22 July     Argentina  3-1 (2-1)  Chile     @ Estadio Centenario, Montevideo
1930	uruguay	(3)  14 July     Yugoslavia   2-1 (2-0)  Brazil   @ Estadio Parque Central, Montevideo
1930	uruguay	(7)  17 July     Yugoslavia   4-0 (0-0)   Bolivia  @ Estadio Parque Central, Montevideo
1930	uruguay	(12) 20 July     Brazil       4-0 (1-0)  Bolivia  @ Estadio Centenario, Montevideo
1930	uruguay	(4)  14 July     Romania      3-1 (1-0)  Peru    @ Estadio Pocitos, Montevideo
1930	uruguay	(9)  18 July     Uruguay      1-0 (0-0)  Peru    @ Estadio Centenario, Montevideo
1930	uruguay	(14) 21 July     Uruguay      4-0 (4-0)  Romania  @ Estadio Centenario, Montevideo
1930	uruguay	(2)  13 July     United States   3-0 (2-0)  Belgium  @ Estadio Parque Central, Montevideo
1930	uruguay	(8)  17 July     United States   3-0 (2-0)  Paraguay @ Estadio Parque Central, Montevideo
1930	uruguay	(13) 20 July     Paraguay        1-0 (1-0)  Belgium  @ Estadio Centenario, Montevideo
1930	uruguay	(16) 26 July     Argentina       6-1 (1-0)  United States  @ Estadio Centenario, Montevideo
1930	uruguay	(17) 27 July     Uruguay         6-1 (3-1)  Yugoslavia     @ Estadio Centenario, Montevideo
1930	uruguay	(18) 30 July     Uruguay         4-2 (1-2)  Argentina      @ Estadio Centenario, Montevideo
1934	italy	(1) 27 May   Sweden         3–2 (1-1)  Argentina      @ Stadio Littoriale, Bologna
1934	italy	(2) 27 May   Austria        3–2 a.e.t. (1-1, 1-1) France   @ Stadio Benito Mussolini, Turin
1934	italy	(3) 27 May   Germany        5–2 (1-2)  Belgium        @ Stadio Giovanni Berta, Florence
1934	italy	(4) 27 May   Spain          3–1 (3-0)  Brazil   @ Stadio Luigi Ferraris, Genoa
1934	italy	(5) 27 May   Hungary        4–2 (2-2)  Egypt          @ Stadio Giorgio Ascarelli, Naples
1934	italy	(6) 27 May   Switzerland    3–2 (2-1)  Netherlands    @ Stadio San Siro, Milan
1934	italy	(7) 27 May   Italy          7–1 (3-0)  United States  @ Stadio Nazionale PNF, Rome
1934	italy	(8) 27 May   Czechoslovakia 2–1 (0-1)  Romania        @ Stadio Littorio, Trieste
1934	italy	(9)  31 May   Czechoslovakia 3–2 (1-1)   Switzerland @ Stadio Benito Mussolini, Turin
1934	italy	(10) 31 May   Germany        2–1 (0-0)   Sweden      @ Stadio San Siro, Milan
1934	italy	(11) 31 May   Italy        1–1 a.e.t. (1-1, 1-1)  Spain  @ Stadio Giovanni Berta, Florence
1934	italy	(12) 31 May   Austria        2–1 (1-0)  Hungary     @ Stadio Littoriale, Bologna
1934	italy	(13) 1 June   Italy           1–0 (1-0)  Spain   @ Stadio Giovanni Berta, Florence
1934	italy	(14) 3 June   Italy           1-0 (1-0)   Austria  @ Stadio San Siro, Milan
1934	italy	(15) 3 June   Czechoslovakia  3–1 (1-0)  Germany  @ Stadio Nazionale PNF, Rome
1934	italy	(16) 7 June   Germany          3–2 (3-1) Austria    @ Stadio Giorgio Ascarelli, Naples
1934	italy	(17) 10 June   Italy 2–1 a.e.t. (1-1, 0-0)  Czechoslovakia  @ Stadio Nazionale PNF, Rome
1938	france	(1) 4 June     Switzerland     1-1aet (1-1, 1-1)   Germany            @ Parc des Princes, Paris
1938	france	(2) 5 June     Hungary         6-0 (4-0)         Dutch East Indies  @ Vélodrome Municipal, Reims
1938	france	(3) 5 June     France          3-1 (2-1)         Belgium            @ Stade Olympique de Colombes, Paris
1938	france	(4) 5 June     Cuba            3-3aet (2-2, 1-1)   Romania            @ Stade Chapou, Toulouse
