nombre,minutos_pantalla,episodios
Tyrion Lannister,293.3,54
Jon Nieve,268.15,49
Daenerys Targaryen,221.3,49
Cersei Lannister,201.45,52
Sansa Stark,199.3,47
Arya Stark,189.15,47
Jaime Lannister,162.3,43
Theon Greyjoy,123.3,39
Samwell Tarly,121.45,37
Jorah Mormont,117.3,42
Petyr 'Meñique' Baelish,102.15,35
Eddard 'Ned' Stark,99.45,16
Brienne of Tarth,89.3,32
Davos Seaworth,89.3,29
Bran Stark,86,30
Catelyn Stark,82.45,26
Lord Varys,81.45,36
Tywin Lannister,78.15,27
Margaery Tyrell,78,26
Robb Stark,77.45,21
Stannis Baratheon,73.15,24
Sandor 'El Perro' Clegane,72.45,29
Joffrey Baratheon,70.15,26
Ramsay Bolton,66,20
Melisandre,65.45,26
Bronn,64,29
Gilly,52,21
Ygritte,51,17
Shae,47.15,20
Daario Naharis,46,21
Missandei,45.45,29
Tommen Baratheon,43.15,24
Tormund Matagigantes,41.45,24
Podrick Payne,41.15,26
Olenna Tyrell,38.15,16
Gorrión Supremo,37.3,12
Barristan Selmy,37.15,25
Grand Maester Pycelle,35.15,31
Loras Tyrell,33,20
Gusano Gris,32.15,24
Talisa Maegyr,30.45,12
Robert Baratheon,30.3,7
Roose Bolton,30.15,19
Osha,29.45,16
Eddison Tollett,29.15,29
Hodor,29,23
Gendry,28.45,17
Oberyn Martell,28.3,7
Yara Greyjoy,27,12
Meera Reed,27,13
Jaqen H'ghar,26.3,18
Alliser Thorne,26,19
Khal Drogo,25,10
Renly Baratheon,24,8
Maester Luwin,23.3,13
Ros,21.45,14
Grenn,21.15,22
Mance Rayder,21,5
Jeor Mormont,21,12
Viserys Targaryen,20.3,6
Qyburn,19.15,14
Jojen Reed,19,10
Maester Aemon,19,11
Ellaria Arena,18.3,11
Lancel Lannister,18.3,17
Shireen Baratheon,18.15,10
Edmure Tully,17.45,8
Gregor Clegane,17.15,14
Lysa Arryn,16.3,5
Meryn Trant,16,18
Brynden 'Pez Negro' Tully,16,7
Walder Frey,15.45,5
Thoros of Myr,15,7
Janos Slynt,14.15,15
Locke,13,8
Myranda,13,8
Rickon Stark,12.45,14
Rodrik Cassel,12.45,15
Waif,12.45,11
Pastel Caliente,12.45,10
Rast,12.45,12
Septa Unella,12.3,8
Olly,12.3,17
Doreah,12.3,11
Balon Greyjoy,12.15,4
Benjen Stark,12,7
Pypar,12,13
Yoren,12,7
Myrcella Baratheon,11.45,12
Hizdahr zo Loraq,11.45,8
Mace Tyrell,11.3,13
Robin Arryn,11.15,8
Beric Dondarrion,11.15,6
Karl Tanner,11.15,4
Selyse Baratheon,11,11
Xaro Xhoan Daxos,10.3,5
Irri,10,13
Dama Crane,10,3
Qhorin Halfhand,9.3,4
Orell,9,6
Rakharo,8.45,8
Kevan Lannister,8.3,11
Tyene Arena,8.3,7
Olyvar,8.15,6
El cuervo de tres ojos,8,9
Alton Lannister,8,3
Yezzan zo Qaggaz,7.45,4
Doran Martell,7.3,5
Mirri Maz Duur,7.3,3
Wun Wun,7.3,5
Syrio Forel,7.15,3
Nymeria Arena,7,7
Obara Arena,6.45,7
Razdal mo Eraz,6.45,3
Euron Greyjoy,6.3,2
Craster,6.3,5
Brother Ray,6.3,NA
Matthos Seaworth,6.3,3
Salladhor Saan,6.15,3
Jory Cassel,6.15,5
Othell Yarwyck,6.15,13
Will,6.15,NA
Septa Mordane,6,6
Polliver,6,2
Yohn Royce,5.45,4
Kraznys mo Nakloz,5.45,3
The Night's King,5.3,5
Spice King,5.3,3
Styr,5.3,4
Dagmer Cleftjaw,5.15,5
Khal Moro,5.15,3
Rickard Karstark,5.15,6
Rattleshirt,5.15,4
Karsi,5.15,NA
Qotho,5.15,6
Armeca,5.15,3
Anguy,5,6
Greatjon Umber,5,3
Lothar Frey,5,7
Vala,5,3
Shagga,5,2
Ser Dontos Hollard,4.45,4
Black Walder Rivers,4.45,7
Lyanna Mormont,4.3,3
Mossador,4.3,3
Pyat Pree,4.3,3
Hoja,4.15,4
Walda Bolton,4,5
Randyll Tarly,4,NA
Malko,4,2
Trystane Martell,3.45,5
Areo Hotah,3.45,5
Aeron Greyjoy,3.45,2
Loboda,3.45,NA
Melessa Tarly,3.3,NA
Amory Lorch,3.3,4
Illyrio Mopatis,3.3,2
Smalljon Umber,3.3,2
Bowen Marsh,3.3,9
Tycho Nestoris,3.15,2
Kovarro,3.15,6
Maester Cressen,3.15,NA
Robett Glover,3,NA
Hallyne,3,2
High Priestess,3,2
Vardis Egen,3,2
Marillion,3,4
Mero,3,NA
Marei,3,6
Izembaro,2.45,3
Lommy Greenhands,2.45,4
Old Nan,2.45,4
Joyeuse Erenford,2.45,2
Mord,2.45,2
Waymar Royce,2.45,NA
Kinvara,2.3,NA
Talla Tarly,2.3,NA
Daisy,2.3,3
Gared,2.3,NA
Ilyn Payne,2.15,4
Roslin Frey,2.15,NA
Ternesio Terys,2,2
Quaithe,1.45,2
Hugh of the Vale,1.45,2
Rorge,1.45,4
Tickler,1.45,2
Lollys Stokeworth,1.45,NA
Mhaegen,1.15,2
Biter,1.15,5
Lhara,1.15,3
Tobho Mott,1.15,2
