pais,camara,porcentaje_mujeres,cuota_genero,edad_elegibilidad,integrante_mas_joven,numero_integrantes,iso_pais
Afghanistán,baja,NA,Sí,25,NA,250,afg
Afghanistán,alta,25,No,35,35,68,afg
Afghanistán,única,NA,NA,NA,NA,NA,afg
Angola,baja,NA,NA,NA,NA,NA,ago
Angola,alta,NA,NA,NA,NA,NA,ago
Angola,única,30,Sí,18,32,220,ago
Albania,baja,NA,NA,NA,NA,NA,alb
Albania,alta,NA,NA,NA,NA,NA,alb
Albania,única,29.29,Sí,18,30,140,alb
Andorra,baja,NA,NA,NA,NA,NA,and
Andorra,alta,NA,NA,NA,NA,NA,and
Andorra,única,42.86,No,18,25,28,and
Emiratos Árabes Unidos,baja,NA,NA,NA,NA,NA,are
Emiratos Árabes Unidos,alta,NA,NA,NA,NA,NA,are
Emiratos Árabes Unidos,única,22.5,No,25,37,40,are
Argentina,baja,38.82,Sí,25,28,255,arg
Argentina,alta,41.67,Sí,30,NA,72,arg
Argentina,única,NA,NA,NA,NA,NA,arg
Armenia,baja,NA,NA,NA,NA,NA,arm
Armenia,alta,NA,NA,NA,NA,NA,arm
Armenia,única,24.24,Sí,25,30,132,arm
Antigua y Barbuda,baja,11.11,No,21,39,18,atg
Antigua y Barbuda,alta,52.94,No,21,33,17,atg
Antigua y Barbuda,única,NA,NA,NA,NA,NA,atg
Australia,baja,30,Sí,18,23,150,aus
Australia,alta,39.47,Sí,18,30,76,aus
Australia,única,NA,NA,NA,NA,NA,aus
Austria,baja,37.16,Sí,18,22,183,aut
Austria,alta,36.07,Sí,18,30,61,aut
Austria,única,NA,NA,NA,NA,NA,aut
Azerbaijan,baja,NA,NA,NA,NA,NA,aze
Azerbaijan,alta,NA,NA,NA,NA,NA,aze
Azerbaijan,única,16.81,No,25,31,119,aze
Burundi,baja,36.36,Sí,25,29,121,bdi
Burundi,alta,46.15,Sí,35,35,39,bdi
Burundi,única,NA,NA,NA,NA,NA,bdi
Bélgica,baja,38,Sí,18,26,150,bel
Bélgica,alta,43.33,No,18,26,60,bel
Bélgica,única,NA,NA,NA,NA,NA,bel
Benin,baja,NA,NA,NA,NA,NA,ben
Benin,alta,NA,NA,NA,NA,NA,ben
Benin,única,NA,No,25,NA,83,ben
Burkina Faso,baja,NA,NA,NA,NA,NA,bfa
Burkina Faso,alta,NA,NA,NA,NA,NA,bfa
Burkina Faso,única,13.39,Sí,21,35,127,bfa
Bangladesh,baja,NA,NA,NA,NA,NA,bgd
Bangladesh,alta,NA,NA,NA,NA,NA,bgd
Bangladesh,única,20.63,No,25,29,349,bgd
Bulgaria,baja,NA,NA,NA,NA,NA,bgr
Bulgaria,alta,NA,NA,NA,NA,NA,bgr
Bulgaria,única,25.83,Sí,21,23,240,bgr
Bahrain,baja,15,No,30,NA,40,bhr
Bahrain,alta,22.5,No,35,NA,40,bhr
Bahrain,única,NA,NA,NA,NA,NA,bhr
Bahamas,baja,12.82,No,21,22,39,bhs
Bahamas,alta,43.75,No,30,NA,16,bhs
Bahamas,única,NA,NA,NA,NA,NA,bhs
Bielorrusia,baja,34.55,No,21,32,110,blr
Bielorrusia,alta,30.36,No,30,37,56,blr
Bielorrusia,única,NA,NA,NA,NA,NA,blr
Belize,baja,9.38,No,18,NA,32,blz
Belize,alta,15.38,No,18,NA,13,blz
Belize,única,NA,NA,NA,NA,NA,blz
Brasil,baja,15.01,Sí,21,22,513,bra
Brasil,alta,14.81,Sí,35,35,81,bra
Brasil,única,NA,NA,NA,NA,NA,bra
Barbados,baja,20,No,21,NA,30,brb
Barbados,alta,42.86,No,21,NA,21,brb
Barbados,única,NA,NA,NA,NA,NA,brb
Brunei Darussalam,baja,NA,NA,NA,NA,NA,brn
Brunei Darussalam,alta,NA,NA,NA,NA,NA,brn
Brunei Darussalam,única,9.09,No,21,29,33,brn
Bhutan,baja,14.89,No,25,27,47,btn
Bhutan,alta,16,No,25,26,25,btn
Bhutan,única,NA,NA,NA,NA,NA,btn
Botswana,baja,NA,NA,NA,NA,NA,bwa
Botswana,alta,NA,NA,NA,NA,NA,bwa
Botswana,única,9.52,No,18,33,63,bwa
Canadá,baja,26.95,Sí,18,22,334,can
Canadá,alta,46.67,No,30,38,105,can
Canadá,única,NA,NA,NA,NA,NA,can
Suiza,baja,32.5,Sí,18,26,200,che
Suiza,alta,15.22,Sí,NA,33,46,che
Suiza,única,NA,NA,NA,NA,NA,che
Chile,baja,22.58,Sí,21,27,155,chl
Chile,alta,23.26,Sí,35,38,43,chl
Chile,única,NA,NA,NA,NA,NA,chl
China,baja,NA,NA,NA,NA,NA,chn
China,alta,NA,NA,NA,NA,NA,chn
China,única,24.94,Sí,18,25,2975,chn
Camerún,baja,31.11,Sí,23,35,180,cmr
Camerún,alta,26,Sí,40,40,100,cmr
Camerún,única,NA,NA,NA,NA,NA,cmr
Congo,baja,11.26,No,25,NA,151,cog
Congo,alta,18.84,No,45,NA,69,cog
Congo,única,NA,NA,NA,NA,NA,cog
Colombia,baja,18.71,Sí,25,NA,171,col
Colombia,alta,20.95,Sí,30,NA,105,col
Colombia,única,NA,NA,NA,NA,NA,col
Comoros,baja,NA,NA,NA,NA,NA,com
Comoros,alta,NA,NA,NA,NA,NA,com
Comoros,única,6.06,No,18,NA,33,com
Costa Rica,baja,NA,NA,NA,NA,NA,cri
Costa Rica,alta,NA,NA,NA,NA,NA,cri
Costa Rica,única,45.61,Sí,21,35,57,cri
Cuba,baja,NA,NA,NA,NA,NA,cub
Cuba,alta,NA,NA,NA,NA,NA,cub
Cuba,única,53.22,No,18,19,605,cub
Chipre,baja,NA,NA,NA,NA,NA,cyp
Chipre,alta,NA,NA,NA,NA,NA,cyp
Chipre,única,17.86,Sí,25,33,56,cyp
Alemania,baja,30.89,Sí,18,24,709,deu
Alemania,alta,39.13,No,18,NA,69,deu
Alemania,única,NA,NA,NA,NA,NA,deu
Djibouti,baja,NA,NA,NA,NA,NA,dji
Djibouti,alta,NA,NA,NA,NA,NA,dji
Djibouti,única,26.15,Sí,23,27,65,dji
Dominica,baja,NA,NA,NA,NA,NA,dma
Dominica,alta,NA,NA,NA,NA,NA,dma
Dominica,única,25,No,21,NA,32,dma
Dinamarca,baja,NA,NA,NA,NA,NA,dnk
Dinamarca,alta,NA,NA,NA,NA,NA,dnk
Dinamarca,única,37.43,No,18,22,179,dnk
Algeria,baja,25.76,Sí,25,NA,462,dza
Algeria,alta,6.82,Sí,35,38,132,dza
Algeria,única,NA,NA,NA,NA,NA,dza
Ecuador,baja,NA,NA,NA,NA,NA,ecu
Ecuador,alta,NA,NA,NA,NA,NA,ecu
Ecuador,única,37.96,Sí,18,NA,137,ecu
Egipto,baja,NA,NA,NA,NA,NA,egy
Egipto,alta,NA,NA,NA,NA,NA,egy
Egipto,única,14.93,Sí,25,25,596,egy
Eritrea,baja,NA,NA,NA,NA,NA,eri
Eritrea,alta,NA,NA,NA,NA,NA,eri
Eritrea,única,22,Sí,NA,NA,150,eri
España,baja,NA,Sí,18,NA,350,esp
España,alta,NA,Sí,18,NA,266,esp
España,única,NA,NA,NA,NA,NA,esp
Estonia,baja,NA,NA,NA,NA,NA,est
Estonia,alta,NA,NA,NA,NA,NA,est
Estonia,única,29.7,No,21,28,101,est
Etiopía,baja,38.76,Sí,18,21,547,eth
Etiopía,alta,32.03,Sí,21,NA,153,eth
Etiopía,única,NA,NA,NA,NA,NA,eth
Finlandia,baja,NA,NA,NA,NA,NA,fin
Finlandia,alta,NA,NA,NA,NA,NA,fin
Finlandia,única,47,No,18,24,200,fin
Fiji,baja,NA,NA,NA,NA,NA,fji
Fiji,alta,NA,NA,NA,NA,NA,fji
Fiji,única,19.61,No,18,30,51,fji
Francia,baja,39.69,Sí,18,23,577,fra
Francia,alta,32.18,Sí,24,38,348,fra
Francia,única,NA,NA,NA,NA,NA,fra
Gabon,baja,17.91,No,21,NA,134,gab
Gabon,alta,18,No,40,NA,100,gab
Gabon,única,NA,NA,NA,NA,NA,gab
Reino Unido,baja,32,Sí,18,23,650,gbr
Reino Unido,alta,26.36,No,21,41,789,gbr
Reino Unido,única,NA,NA,NA,NA,NA,gbr
Georgia,baja,NA,NA,NA,NA,NA,geo
Georgia,alta,NA,NA,NA,NA,NA,geo
