cancion,popularidad,artista,artista_completo,album,top_pais,puesto,bailabilidad,energia,nota_musical,volumen,modo,hablado,acustico,instrumental,en_vivo,positividad,tempo,duracion,tiempo_compas,fecha
Calma - Remix,93,Pedro Capó,Pedro Capó feat. Farruko,Calma (Remix),El Top 50 de Uruguay,1,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,2018-10-05
Hope,43,Mike Wit,Mike Wit,Hope,El Top 50 de Uruguay,2,0.694,0.581,6,-7.382,1,0.0496,0.843,2.12e-6,0.0823,0.664,107.059,172722,4,2019-04-12
Adan y Eva,89,Paulo Londra,Paulo Londra,Adan y Eva,El Top 50 de Uruguay,3,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4,2018-11-05
Con Calma,96,Daddy Yankee,Daddy Yankee feat. Snow,Con Calma,El Top 50 de Uruguay,4,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-6,0.0574,0.656,93.989,193227,4,2019-01-24
Tuyo,43,J.Beren,J.Beren,Tuyo,El Top 50 de Uruguay,5,0.811,0.881,7,-2.757,0,0.0405,0.183,0.00148,0.0651,0.649,99.987,175800,4,2019-02-22
Secreto,92,Anuel Aa,Anuel Aa feat. Karol G,Secreto,El Top 50 de Uruguay,6,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,2019-01-15
Desconocidos,89,Mau y Ricky,Mau y Ricky feat. Manuel Turizo feat. Camilo,Desconocidos,El Top 50 de Uruguay,7,0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-6,0.249,0.709,174.006,204453,4,2018-10-12
Baila Baila Baila,91,Ozuna,Ozuna,Baila Baila Baila,El Top 50 de Uruguay,8,0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,4,2019-01-05
Reggaeton,85,J Balvin,J Balvin,Reggaeton,El Top 50 de Uruguay,9,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-5,0.101,0.552,176.059,158800,4,2018-11-17
MIA (feat. Drake),89,Bad Bunny,Bad Bunny feat. Drake,MIA (feat. Drake),El Top 50 de Uruguay,10,0.817,0.539,6,-6.349,0,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,210368,4,2018-10-11
Adictiva,86,Daddy Yankee,Daddy Yankee feat. Anuel Aa,Adictiva,El Top 50 de Uruguay,11,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-5,0.172,0.701,99.038,207853,4,2018-11-09
Amanece,88,Anuel Aa,Anuel Aa feat. Haze,Amanece,El Top 50 de Uruguay,12,0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,2018-12-14
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",90,DJ Snake,DJ Snake feat. Selena Gomez feat. Ozuna feat. Cardi B,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",El Top 50 de Uruguay,13,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-6,0.0618,0.591,95.948,212500,4,2018-09-28
Sin Culpa (feat. DrefQuila),77,Duki,Duki feat. DrefQuila,Sin Culpa (feat. DrefQuila),El Top 50 de Uruguay,14,0.641,0.652,8,-8.575,0,0.264,0.42,1.74e-6,0.094,0.406,175.022,244771,4,2018-12-07
Te Vi,89,Piso 21,Piso 21 feat. Micro Tdh,Te Vi,El Top 50 de Uruguay,15,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-5,0.0863,0.706,102.02,231848,4,2018-12-14
Imposible,72,Luis Fonsi,Luis Fonsi feat. Ozuna,VIDA,El Top 50 de Uruguay,16,0.783,0.738,11,-4.078,1,0.0741,0.127,0,0.127,0.925,90.976,164533,4,2019-02-01
Me Voy,73,Rombai,Rombai,Me Voy,El Top 50 de Uruguay,17,0.531,0.752,9,-3.33,0,0.2,0.214,0,0.145,0.884,192.443,177787,4,2018-09-28
Ya No Tiene Novio,81,Sebastian Yatra,Sebastian Yatra feat. Mau y Ricky,Ya No Tiene Novio,El Top 50 de Uruguay,18,0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,2018-08-10
Un Año,87,Sebastian Yatra,Sebastian Yatra feat. Reik,Un Año,El Top 50 de Uruguay,19,0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,164440,4,2019-01-18
Ella Quiere Beber - Remix,67,Anuel Aa,Anuel Aa feat. Romeo Santos,Ella Quiere Beber (Remix),El Top 50 de Uruguay,20,0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,4,2018-11-02
NI BIEN NI MAL,84,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Uruguay,21,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-5,0.273,0.337,128.028,236216,4,2018-12-23
Puntos Suspensivos,81,Piso 21,Piso 21,Ubuntu,El Top 50 de Uruguay,22,0.823,0.731,11,-3.399,0,0.103,0.175,0,0.131,0.952,152.024,186316,4,2018-05-11
Créeme,84,Karol G,Karol G feat. Maluma,Créeme,El Top 50 de Uruguay,23,0.715,0.872,6,-3.501,1,0.0547,0.154,1.46e-4,0.11,0.682,96.939,212493,4,2018-11-02
Leña para el Carbón - Remix,33,FIESTA!,FIESTA!,Éxitos (Fiestero Remix),El Top 50 de Uruguay,24,0.615,0.787,8,-4.742,0,0.108,0.062,2.1e-6,0.0707,0.869,203.932,143805,4,2019-01-19
Bubalu,84,Becky G,Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa,Bubalu,El Top 50 de Uruguay,25,0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,2018-11-06
7 rings,92,Ariana Grande,Ariana Grande,7 rings,El Top 50 de Uruguay,26,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4,2019-01-18
