fecha_hora,latitud,longitud,profundidad,tipo,magnitud,tipo_magnitud,lugar
2019-05-28T15:35:39Z,48.7192,153.3762,122.19,terremoto,4.8,mb,"294km SW of Severo-Kuril'sk, Russia"
2019-05-28T15:00:27Z,-8.6239,108.6426,98.83,terremoto,4.7,mb,"92km SSE of Sindangsari, Indonesia"
2019-05-28T14:41:45Z,-8.9085,-74.5369,148.39,terremoto,4.5,mb,"56km SSE of Campoverde, Peru"
2019-05-28T14:34:20Z,-14.6041,167.246,202.44,terremoto,4.5,mb,"53km NNE of Port-Olry, Vanuatu"
2019-05-28T13:00:47Z,-23.2048,-179.796,564.96,terremoto,4.5,mb,South of the Fiji Islands
2019-05-28T10:53:18Z,-12.8707,45.5139,10,terremoto,4.6,mb,"26km ESE of Pamandzi, Mayotte"
2019-05-28T05:27:47Z,36.9421,27.6242,10,terremoto,4.6,mb,"20km ESE of Bodrum, Turkey"
2019-05-28T03:28:17Z,-15.7281,-74.9928,22.98,terremoto,4.7,mb,"52km SW of Acari, Peru"
2019-05-28T03:14:36Z,-12.2632,-77.5854,35,terremoto,4.6,mb,"52km WSW of Callao, Peru"
2019-05-28T00:56:38Z,-5.0934,100.7385,10,terremoto,4.7,mb,"221km SW of Bengkulu, Indonesia"
2019-05-28T00:28:40Z,-7.2041,129.5236,141,terremoto,4.5,mb,"214km WNW of Saumlaki, Indonesia"
2019-05-27T23:44:03Z,-6.0684,147.0184,93.29,terremoto,4.7,mb,"72km N of Lae, Papua New Guinea"
2019-05-27T23:29:32Z,-56.3141,-27.6801,120.29,terremoto,5.8,mww,"52km NW of Visokoi Island, South Georgia and the South Sandwich Islands"
2019-05-27T14:21:44Z,-46.5755,166.0172,19.97,terremoto,4.5,mb,"155km W of Riverton, New Zealand"
2019-05-27T13:33:59Z,0.3776,122.0844,190.11,terremoto,4.7,mb,"33km WSW of Tilamuta, Indonesia"
2019-05-27T10:14:20Z,-4.6521,152.9065,55.84,terremoto,5.3,mb,"24km SW of Taron, Papua New Guinea"
2019-05-27T09:52:21Z,58.8609,-152.3514,65.4,terremoto,5.8,ml,"89km SSW of Homer, Alaska"
2019-05-27T09:25:20Z,-8.2112,158.6148,116.67,terremoto,5.5,mb,"49km WSW of Dadali, Solomon Islands"
2019-05-27T04:45:50Z,-20.9001,-113.6794,10,terremoto,4.5,mb,Southern East Pacific Rise
2019-05-27T01:56:18Z,-21.0216,-178.7803,586.46,terremoto,4.9,mb,"41km SSW of Ndoi Island, Fiji"
2019-05-27T00:25:07Z,18.988,145.7459,134.89,terremoto,4.6,mb,"25km NNE of Agrihan, Northern Mariana Islands"
2019-05-26T22:10:22Z,50.334,156.5409,57.59,terremoto,4.5,mb,"48km SE of Severo-Kuril'sk, Russia"
