id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
7270,¡¡Great Loft in Palermo Hollywood!!,18822,Toni,2009-05-26,FALSE,Palermo,-34.58241,-58.43382,Alojamiento entero,2,strict_14_with_grace_period
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,2009-10-01,FALSE,Palermo,-34.58225,-58.4246,Alojamiento entero,2,strict_14_with_grace_period
12463,Room in Recoleta - awesome location,48799,Matt,2009-10-28,FALSE,Recoleta,-34.59761,-58.39468,Habitación privada,1,moderate
13095,Standard Room at Palermo Viejo B&B,50994,Ariel,2009-11-03,FALSE,Palermo,-34.59382,-58.42994,Habitación privada,2,strict_14_with_grace_period
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,2009-11-03,FALSE,Palermo,-34.59398,-58.42853,Habitación privada,2,strict_14_with_grace_period
13097,Standard Room at Palermo Viejo B&B,50994,Ariel,2009-11-03,FALSE,Palermo,-34.59381,-58.43007,Habitación privada,2,strict_14_with_grace_period
13099,Lofty room in Palermo Viejo B&B,50994,Ariel,2009-11-03,FALSE,Palermo,-34.59362,-58.42984,Habitación privada,3,strict_14_with_grace_period
13100,Master Room in Palermo Viejo B&B,50994,Ariel,2009-11-03,FALSE,Palermo,-34.59288,-58.4301,Habitación privada,4,strict_14_with_grace_period
14222,"HAPPY HOUSE - PALERMO, BUENOS AIRES",55825,Manuel,2009-11-19,FALSE,Palermo,-34.58777,-58.41106,Alojamiento entero,3,moderate
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,2009-11-26,FALSE,Monserrat,-34.60913,-58.37372,Alojamiento entero,3,flexible
15074,ROOM WITH RIVER SIGHT,59338,Monica,2009-12-02,FALSE,Nuñez,-34.53724,-58.4658,Habitación privada,1,moderate
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,2009-12-11,FALSE,Balvanera,-34.6029,-58.4114,Habitación privada,1,moderate
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,2009-12-21,FALSE,Monserrat,-34.61385,-58.37706,Alojamiento entero,4,moderate
16696,BIGDUPLEX LOFT IN SAN TELMO (3),64880,Elbio Mariano,2009-12-21,FALSE,Monserrat,-34.61469,-58.37421,Alojamiento entero,3,strict_14_with_grace_period
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,2009-12-21,FALSE,Monserrat,-34.61427,-58.37488,Alojamiento entero,2,moderate
17451,A terrace in Buenos Aires,67732,Karen,2010-01-04,FALSE,Belgrano,-34.55811,-58.46462,Habitación privada,2,moderate
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,2010-01-07,FALSE,San Nicolas,-34.60175,-58.3786,Alojamiento entero,3,strict_14_with_grace_period
18007,apartament in San Telmo,69404,Marcelo,2010-01-10,FALSE,Monserrat,-34.6154,-58.3778,Alojamiento entero,2,flexible
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,2010-01-11,FALSE,San Telmo,-34.61986,-58.36947,Alojamiento entero,4,strict_14_with_grace_period
19583,"Studio in Recoleta , for two people.",74263,Arturo Raul,2010-01-27,TRUE,Recoleta,-34.59593,-58.39257,Alojamiento entero,2,moderate
19633,"Rooms Gran Categoría(3),",74403,Roberto,2010-01-27,FALSE,Belgrano,-34.56685,-58.46178,Habitación privada,1,flexible
19636,¡Great Apartment in Buenos Aires!,74432,Vir,2010-01-27,FALSE,Caballito,-34.6289,-58.44202,Alojamiento entero,3,moderate
20062,PENTHOUSE /Terrace & pool /City views /2bedrooms,75891,Sergio,2010-01-31,FALSE,Palermo,-34.58079,-58.44203,Alojamiento entero,4,strict_14_with_grace_period
20429,Hermoso  y acogedor departamento.,77065,Marcelo,2010-02-03,FALSE,Constitucion,-34.62108,-58.38677,Alojamiento entero,2,moderate
21807,Comfortable apartment in San Telmo,83312,Graciela,2010-02-20,FALSE,San Telmo,-34.62225,-58.37239,Alojamiento entero,2,strict_14_with_grace_period
21816,Apartment at Faena Hotel,83130,Marce,2010-02-19,FALSE,Puerto Madero,-34.61407,-58.36187,Alojamiento entero,2,strict_14_with_grace_period
21837,Comfortable studio in Callao Avenue,80208,Olga,2010-02-11,FALSE,Monserrat,-34.60807,-58.37224,Alojamiento entero,2,strict_14_with_grace_period
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",94615,Nicola,2010-03-16,TRUE,Monserrat,-34.61495,-58.37319,Alojamiento entero,3,strict_14_with_grace_period
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,2010-03-29,FALSE,San Nicolas,-34.6034,-58.37867,Alojamiento entero,4,strict_14_with_grace_period
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,2010-03-30,FALSE,Chacarita,-34.58681,-58.44476,Alojamiento entero,2,strict_14_with_grace_period
25876,Stylish & Comfortable Apartment,108864,Luis,2010-04-15,TRUE,San Nicolas,-34.59999,-58.37851,Alojamiento entero,4,moderate
26258,Huge 473sqf Studio @ Palermo University area,111013,Daniel,2010-04-19,FALSE,Balvanera,-34.5991,-58.41053,Alojamiento entero,4,strict_14_with_grace_period
26757,"Sunny Terrace, Cozy Loft, Sleeps 4 in San Telmo",97165,Angela,2010-03-22,FALSE,San Telmo,-34.62199,-58.36883,Alojamiento entero,4,strict_14_with_grace_period
27631,Apartment for rent in Recoleta,119446,Inés,2010-05-06,FALSE,Recoleta,-34.591,-58.39039,Alojamiento entero,3,moderate
27991,One bedroom Apt on Corrientes Av,120567,Pablo,2010-05-08,FALSE,Villa Crespo,-34.59984,-58.43692,Alojamiento entero,4,flexible
28244,Loft in Palermo Hollywood.Pool 617,119613,Marcos,2010-05-06,TRUE,Palermo,-34.57628,-58.43456,Alojamiento entero,2,strict_14_with_grace_period
28408,Peaceful & Bright 2BD Small Apt. City Downtown,122080,Catherine,2010-05-10,FALSE,San Nicolas,-34.60002,-58.3714,Alojamiento entero,4,strict_14_with_grace_period
29421,Best Location Las Cañitas 1 Bed Apt,126458,Adriana,2010-05-17,FALSE,Palermo,-34.57066,-58.43211,Alojamiento entero,2,strict_14_with_grace_period
29983,Depto de 1 ambiente en Recoleta,129235,Carolina,2010-05-21,FALSE,Recoleta,-34.59925,-58.3908,Alojamiento entero,2,moderate
29990,"Funky & Stylish Apartment, Palermo",129245,Savas,2010-05-21,FALSE,Palermo,-34.58521,-58.42739,Alojamiento entero,4,strict_14_with_grace_period
31514,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,2009-12-21,FALSE,Monserrat,-34.61555,-58.37612,Alojamiento entero,4,strict_14_with_grace_period
31920,Beautifull apartment in Belgrano!,137373,Nancy,2010-06-02,FALSE,Belgrano,-34.56483,-58.46014,Alojamiento entero,3,strict_14_with_grace_period
35703,Charming studio in Palermo,150763,Viviana,2010-06-23,TRUE,Recoleta,-34.59103,-58.40781,Alojamiento entero,2,moderate
36160,SPECIAL OFFER Sunny young and great location apt!,155223,Agustina,2010-06-29,FALSE,Recoleta,-34.589,-58.38665,Alojamiento entero,2,flexible
37347,Palermo/Las Cañitas Apartment,161327,Mariano,2010-07-08,TRUE,Palermo,-34.57185,-58.43286,Alojamiento entero,3,strict_14_with_grace_period
41608,Palermo Soho Spectacular New Unit,181721,Yamila & Eyenit,2010-07-26,FALSE,Palermo,-34.58576,-58.42803,Alojamiento entero,2,strict_14_with_grace_period
42450,French Classic in San Telmo: Balcony over Defensa!,185437,Grisel,2010-07-30,TRUE,Monserrat,-34.61544,-58.37258,Alojamiento entero,4,strict_14_with_grace_period
45498,"LUXURY DUPLEX, fully equipped, 2Bd, pool & terrace",75891,Sergio,2010-01-31,FALSE,Palermo,-34.58284,-58.44206,Alojamiento entero,4,strict_14_with_grace_period
46639,Rent Apart Palermo Buenos Aires 5px,209005,Flor,2010-08-22,FALSE,Palermo,-34.58861,-58.41647,Alojamiento entero,5,strict_14_with_grace_period
48089,Recoleta Classic French-Style 2BDR,192475,Chris,2010-08-05,TRUE,Recoleta,-34.58676,-58.38854,Alojamiento entero,4,strict_14_with_grace_period
48527,French style apartment in Recoleta,221661,Ricardo,2010-09-02,FALSE,Recoleta,-34.58543,-58.39637,Alojamiento entero,2,moderate
48535,Elegant apartment in downtown Bs.As,221044,Florencia,2010-09-02,FALSE,Retiro,-34.59456,-58.37503,Alojamiento entero,2,strict_14_with_grace_period
48621,PET FRIENDLY Recoleta Sunny Studio w/ Balcony,221405,Ximena,2010-09-02,FALSE,Recoleta,-34.59392,-58.38853,Alojamiento entero,3,moderate
48626,PET FRIENDLY Top Floor Recoleta Balcony Apartment,221405,Ximena,2010-09-02,FALSE,Recoleta,-34.59552,-58.38783,Alojamiento entero,4,moderate
48678,Grate & Luxury apartment Recoleta,221661,Ricardo,2010-09-02,FALSE,Recoleta,-34.58722,-58.39676,Habitación privada,3,moderate
