id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
14714,Private room c/ bathroom . Colonia Juarez.,57785,Diego,2009-11-26,FALSE,Cuauhtémoc,19.43035,-99.15511,Habitación privada,2,flexible
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,2010-03-03,FALSE,Cuauhtémoc,19.44076,-99.16324,Habitación privada,2,strict_14_with_grace_period
33681,Couple of Rooms,145672,Edubiel,2010-06-16,FALSE,Tlalpan,19.27215,-99.21848,Habitación privada,2,flexible
35797,Villa Dante,153786,Dici,2010-06-28,FALSE,Cuajimalpa de Morelos,19.38399,-99.27335,Alojamiento entero,2,flexible
44616,CONDESA HAUS BOUTIQUE B&B,196253,Fernando,2010-08-09,FALSE,Cuauhtémoc,19.41006,-99.17645,Habitación privada,16,strict_14_with_grace_period
58955,Entire beautiful duplex in la Roma,282620,Nat,2010-11-09,FALSE,Cuauhtémoc,19.42292,-99.15775,Alojamiento entero,2,strict_14_with_grace_period
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,2010-11-26,TRUE,Cuauhtémoc,19.41259,-99.17959,Habitación privada,2,moderate
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,2011-01-04,TRUE,Cuauhtémoc,19.41375,-99.17028,Alojamiento entero,4,strict_14_with_grace_period
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,2010-08-24,TRUE,Coyoacán,19.35601,-99.16167,Alojamiento entero,2,moderate
70737,Great studio Coyoacan!,212109,Trisha,2010-08-24,TRUE,Coyoacán,19.35466,-99.16304,Alojamiento entero,2,strict_14_with_grace_period
75615,Villa Dante,153786,Dici,2010-06-28,FALSE,Cuajimalpa de Morelos,19.36585,-99.27911,Habitación privada,2,flexible
84500,Beautiful house Downtown Coyoacán,457875,Vicente,2011-03-22,FALSE,Coyoacán,19.34772,-99.16701,Alojamiento entero,8,moderate
98378,"Last-minute stays, up to -30%; Apr (Phone number hidden by Airbnb) usd/n",519159,Jorge & Monnah,2011-04-18,TRUE,Miguel Hidalgo,19.40236,-99.18163,Alojamiento entero,15,strict_14_with_grace_period
