pais_es,2017.0,2019.0
Argelia,ilegal,ilegal
Angola,ilegal,legal
Benin,legal,legal
Botswana,ilegal,ilegal
Burkina Faso,legal,legal
Burundi,ilegal,ilegal
Camerún,ilegal,ilegal
Cabo Verde,legal,legal
República Centroafricana,legal,legal
Chad,legal,ilegal
Comoras,ilegal,ilegal
Congo,legal,legal
Costa de Marfil,legal,legal
República Democrática del Congo,legal,legal
Djibouti,legal,legal
Egipto,de_facto_ilegal,de_facto_ilegal
Guinea Ecuatorial,legal,legal
Eritrea,ilegal,ilegal
Eswatini,ilegal,ilegal
Etiopía,ilegal,ilegal
Gabón,legal,legal
Gambia,ilegal,ilegal
Ghana,ilegal,ilegal
Guinea,ilegal,ilegal
Guinea-Bissau,legal,legal
Kenia,ilegal,ilegal
Lesoto,legal,legal
Liberia,ilegal,ilegal
Libia,ilegal,ilegal
Madagascar,legal,legal
Malawi,ilegal,ilegal
mali,legal,legal
Mauritania,ilegal,ilegal
Isla mauricio,ilegal,ilegal
Marruecos,ilegal,ilegal
Mozambique,legal,legal
Namibia,ilegal,ilegal
Níger,legal,legal
Nigeria,ilegal,ilegal
Ruanda,legal,legal
Santo Tomé y Príncipe,legal,legal
Senegal,ilegal,ilegal
Seychelles,legal,legal
Sierra Leona,ilegal,ilegal
Somalia,ilegal,ilegal
Sudáfrica,legal,legal
Sudán del Sur,ilegal,ilegal
Sudán,ilegal,ilegal
Tanzania,ilegal,ilegal
Togo,ilegal,ilegal
Túnez,ilegal,ilegal
Uganda,ilegal,ilegal
Zambia,ilegal,ilegal
Zimbabue,ilegal,ilegal
Antigua y Barbuda,ilegal,ilegal
Argentina,legal,legal
Bahamas,legal,legal
Barbados,ilegal,ilegal
Belice,legal,legal
Bolivia,legal,legal
Brasil,legal,legal
Costa Rica,legal,legal
Chile,legal,legal
Colombia,legal,legal
Cuba,legal,legal
Dominica,ilegal,ilegal
República Dominicana,legal,legal
Ecuador,legal,legal
El Salvador,legal,legal
Granada,ilegal,ilegal
Guatemala,legal,legal
Guayana,ilegal,ilegal
Haití,legal,legal
Honduras,legal,legal
Jamaica,ilegal,ilegal
México,legal,legal
Nicaragua,legal,legal
Panamá,legal,legal
Paraguay,legal,legal
Perú,legal,legal
St Kitts y Nevis,ilegal,ilegal
Santa Lucía,ilegal,ilegal
San Vicente y las Granadinas,ilegal,ilegal
Surinam,legal,legal
Trinidad y Tobago,ilegal,legal
Uruguay,legal,legal
Venezuela,legal,legal
Canadá,legal,legal
Estados Unidos,legal,legal
Afganistán,ilegal,ilegal
Bahrein,legal,legal
Bangladesh,ilegal,ilegal
Bután,ilegal,ilegal
Brunei Darussalam,ilegal,ilegal
Camboya,legal,legal
China,legal,legal
Timor del Este,legal,legal
India,ilegal,legal
Indonesia,legal,legal
Irak,ilegal,de_facto_ilegal
Irán,ilegal,ilegal
Israel,legal,legal
Japón,legal,legal
Jordán,legal,legal
Kazajstán,legal,legal
Kuwait,ilegal,ilegal
Kirguizistán,legal,legal
Laos,legal,legal
Líbano,ilegal,ilegal
Malasia,ilegal,ilegal
Maldivas,ilegal,ilegal
Mongolia,legal,legal
Myanmar,ilegal,ilegal
Nepal,legal,legal
Corea del Norte,legal,legal
Omán,ilegal,ilegal
Pakistán,ilegal,ilegal
Filipinas,legal,legal
Katar,ilegal,ilegal
Arabia Saudita,ilegal,ilegal
Singapur,ilegal,ilegal
Corea del Sur,legal,legal
Sri Lanka,ilegal,ilegal
Siria,ilegal,ilegal
Tayikistán,legal,legal
Tailandia,legal,legal
Turkmenistán,ilegal,ilegal
Vietnam,legal,legal
Emiratos Árabes Unidos,ilegal,ilegal
Uzbekistán,ilegal,ilegal
Yemen,ilegal,ilegal
Albania,legal,legal
Andorra,legal,legal
Armenia,legal,legal
Austria,legal,legal
Azerbaiyán,legal,legal
Bielorrusia,legal,legal
Bélgica,legal,legal
Bosnia y Herzegovina,legal,legal
Bulgaria,legal,legal
Croacia,legal,legal
Chipre,legal,legal
Republica checa,legal,legal
Dinamarca,legal,legal
Estonia,legal,legal
Finlandia,legal,legal
Francia,legal,legal
Georgia,legal,legal
Alemania,legal,legal
Grecia,legal,legal
Hungría,legal,legal
Islandia,legal,legal
Irlanda,legal,legal
Italia,legal,legal
Letonia,legal,legal
Liechtenstein,legal,legal
Lituania,legal,legal
Luxemburgo,legal,legal
Malta,legal,legal
Moldavia,legal,legal
Mónaco,legal,legal
Montenegro,legal,legal
Países Bajos,legal,legal
Macedonia del Norte,legal,legal
Noruega,legal,legal
Polonia,legal,legal
Portugal,legal,legal
Rumania,legal,legal
Rusia,legal,legal
San Marino,legal,legal
Serbia,legal,legal
Eslovaquia,legal,legal
Eslovenia,legal,legal
España,legal,legal
Suecia,legal,legal
Suiza,legal,legal
Turquía,legal,legal
Ucrania,legal,legal
Reino Unido,legal,legal
Australia,legal,legal
Fiji,legal,legal
Kiribati,ilegal,ilegal
Islas Marshall,legal,legal
Micronesia,legal,legal
Nueva Zelanda,legal,legal
Nauru,legal,legal
Palau,legal,legal
Papúa Nueva Guinea,ilegal,ilegal
Samoa,ilegal,ilegal
Islas Salomón,ilegal,ilegal
Tonga,ilegal,ilegal
Tuvalu,ilegal,ilegal
Vanuatu,legal,legal
