fecha,version_r,sistema_operativo,descargas
2019-06-02,3.5.2,src,6
2019-06-02,3.5.3,src,2
2019-06-02,2.11.1,osx,1
2019-06-02,3.3.0,osx,5
2019-06-02,2.12.0,osx,1
2019-06-02,3.0.1,osx,1
2019-06-02,2.14.1,osx,1
2019-06-02,3.2.0,src,1
2019-06-02,3.3.2,src,1
2019-06-02,3.1.2,src,2
2019-06-02,2.13.2,osx,1
2019-06-02,latest,osx,261
2019-06-02,3.5.3,win,42
2019-06-02,3.5.2,win,1
2019-06-02,3.4.4,osx,48
2019-06-02,3.5.0,src,1
2019-06-02,3.2.1,src,1
2019-06-02,2.12.0,src,1
2019-06-02,2.13.1,osx,1
2019-06-02,3.6.0,osx,278
2019-06-02,3.5.0,osx,1
2019-06-02,3.5.1,src,6
2019-06-02,2.15.3,osx,1
2019-06-02,3.4.4,src,5
2019-06-02,3.6.0patched,win,157
2019-06-02,3.3.2,osx,1
2019-06-02,2.15.2,osx,1
2019-06-02,3.1.0,win,1
2019-06-02,3.2.4,osx,7
2019-06-02,3.4.1,src,1
2019-06-02,2.10.0,osx,1
2019-06-02,3.2.5,src,2
2019-06-02,3.4.4,win,4
2019-06-02,3.5.3,osx,52
2019-06-02,3.5.2,osx,3
2019-06-02,3.5.1,osx,2
2019-06-02,devel,win,53
2019-06-02,2.12.2,osx,1
2019-06-02,2.11.0,osx,1
2019-06-02,3.6.0,src,38
2019-06-02,3.4.3,win,4
2019-06-02,3.4.2,osx,3
2019-06-02,3.1.2,osx,1
2019-06-02,3.3.0,win,7
2019-06-02,2.15.0,osx,1
2019-06-02,2.14.0,osx,1
2019-06-02,2.14.2,osx,1
2019-06-02,3.3.1,osx,1
2019-06-02,3.1.3,osx,1
2019-06-02,3.3.3,osx,67
2019-06-02,2.12.1,osx,1
2019-06-02,2.10.1,osx,2
2019-06-02,3.1.1,src,1
2019-06-02,3.2.1,osx,4
2019-06-02,3.4.1,osx,1
2019-06-02,3.4.0,osx,2
2019-06-02,2.15.1,osx,2
2019-06-02,3.3.3,win,30
2019-06-02,3.6.0,win,1620
2019-06-02,3.4.3,osx,3
2019-06-03,3.2.5,src,1
2019-06-03,3.2.1,src,2
2019-06-03,3.6.0patched,win,355
2019-06-03,3.4.4,src,2
2019-06-03,3.2.1,osx,4
2019-06-03,3.5.0,osx,3
2019-06-03,3.5.1,win,2
2019-06-03,3.3.3,src,2
2019-06-03,3.3.2,win,1
2019-06-03,2.13.2,osx,4
2019-06-03,3.3.1,win,1
2019-06-03,3.1.3,src,1
2019-06-03,3.3.0,src,2
2019-06-03,3.3.0,osx,1
2019-06-03,3.0.3,osx,1
2019-06-03,2.12.2,osx,1
2019-06-03,2.11.0,osx,1
2019-06-03,3.5.1,osx,3
2019-06-03,3.5.1,src,33
2019-06-03,3.5.0,win,3
2019-06-03,2.13.2,win,1
2019-06-03,3.5.3,src,7
2019-06-03,3.3.2,osx,1
2019-06-03,3.5.2,src,6
2019-06-03,3.0.1,osx,1
2019-06-03,2.13.1,osx,1
2019-06-03,3.4.0,osx,1
2019-06-03,3.4.4,win,22
2019-06-03,latest,osx,378
2019-06-03,2.15.1,osx,1
2019-06-03,3.4.1,src,8
2019-06-03,3.5.3,osx,67
2019-06-03,3.2.4,osx,1
2019-06-03,3.5.2,osx,8
2019-06-03,3.2.1,win,3
2019-06-03,3.4.2,src,9
2019-06-03,3.3.2,src,1
2019-06-03,3.6.0,src,96
2019-06-03,devel,win,126
2019-06-03,3.3.3,osx,63
2019-06-03,3.4.1,osx,2
2019-06-03,3.4.0,src,1
2019-06-03,3.2.5,win,3
2019-06-03,3.6.0,osx,601
2019-06-03,3.3.3,win,55
2019-06-03,3.4.3,win,13
2019-06-03,3.4.0,win,1
2019-06-03,3.2.0,osx,1
2019-06-03,3.1.1,osx,1
2019-06-03,3.0.2,osx,1
2019-06-03,3.4.3,src,1
2019-06-03,3.5.3,win,99
2019-06-03,3.5.2,win,4
2019-06-03,3.3.0,win,1
2019-06-03,3.4.4,osx,39
2019-06-03,3.1.2,src,2
2019-06-03,2.12.0,src,1
2019-06-03,3.6.0,win,3281
2019-06-03,2.15.0,src,2
2019-06-03,3.4.2,win,2
2019-06-03,3.4.3,osx,1
2019-06-03,3.5.0,src,6
2019-06-04,3.4.2,osx,3
2019-06-04,3.4.3,win,21
2019-06-04,3.5.2,win,5
2019-06-04,3.3.1,osx,1
2019-06-04,2.11.0,osx,1
2019-06-04,3.4.4,win,23
2019-06-04,3.2.1,win,6
2019-06-04,2.12.2,osx,1
2019-06-04,3.4.2,win,2
2019-06-04,3.4.3,osx,2
2019-06-04,3.5.0,win,4
2019-06-04,3.6.0patched,"NA",1
2019-06-04,3.0.2,src,1
2019-06-04,3.5.3,win,146
2019-06-04,3.5.1,src,35
2019-06-04,2.15.3,win,1
2019-06-04,3.5.2,osx,12
2019-06-04,3.4.1,win,3
2019-06-04,latest,"NA",4
2019-06-04,3.3.1,win,1
2019-06-04,3.4.4,src,2
2019-06-04,3.4.3,src,1
2019-06-04,3.6.0,win,3478
2019-06-04,3.4.4,osx,37
2019-06-04,3.0.0,src,1
2019-06-04,3.2.1,osx,7
2019-06-04,3.3.0,osx,7
2019-06-04,3.5.1,win,5
2019-06-04,3.2.0,win,2
2019-06-04,3.6.0,osx,576
2019-06-04,devel,"NA",1
2019-06-04,3.1.2,src,1
2019-06-04,latest,osx,500
2019-06-04,3.0.0,osx,1
2019-06-04,3.6.0,src,102
2019-06-04,3.5.3,osx,71
2019-06-04,3.1.3,src,1
2019-06-04,3.5.0,osx,3
2019-06-04,3.4.0,win,5
2019-06-04,devel,win,176
2019-06-04,3.3.0,win,8
