anio,equipo,codigo_pais,ronda,resultado,goles,id_partido_anio,numero_equipo
1991,República Popular China,CHN,Fase de grupos,Victoria,4,1,1
1991,Noruega,NOR,Fase de grupos,Derrota,0,1,2
1991,Dinamarca,DEN,Fase de grupos,Victoria,3,2,1
1991,Nueva Zelanda,NZL,Fase de grupos,Derrota,0,2,2
1991,Japón,JPN,Fase de grupos,Derrota,0,3,1
1991,Brasil,BRA,Fase de grupos,Victoria,1,3,2
1991,Alemania,GER,Fase de grupos,Victoria,4,4,1
1991,Nigeria,NGA,Fase de grupos,Derrota,0,4,2
1991,Suecia,SWE,Fase de grupos,Derrota,2,5,1
1991,Estados Unidos,USA,Fase de grupos,Victoria,3,5,2
1991,China Taipei,TPE,Fase de grupos,Derrota,0,6,1
1991,Italia,ITA,Fase de grupos,Victoria,5,6,2
1991,Noruega,NOR,Fase de grupos,Victoria,4,7,1
1991,Nueva Zelanda,NZL,Fase de grupos,Derrota,0,7,2
1991,República Popular China,CHN,Fase de grupos,Empate,2,8,1
1991,Dinamarca,DEN,Fase de grupos,Empate,2,8,2
1991,Japón,JPN,Fase de grupos,Derrota,0,9,1
1991,Suecia,SWE,Fase de grupos,Victoria,8,9,2
1991,Italia,ITA,Fase de grupos,Victoria,1,10,1
1991,Nigeria,NGA,Fase de grupos,Derrota,0,10,2
1991,Brasil,BRA,Fase de grupos,Derrota,0,11,1
1991,Estados Unidos,USA,Fase de grupos,Victoria,5,11,2
1991,China Taipei,TPE,Fase de grupos,Derrota,0,12,1
1991,Alemania,GER,Fase de grupos,Victoria,3,12,2
1991,Japón,JPN,Fase de grupos,Derrota,0,13,1
1991,Estados Unidos,USA,Fase de grupos,Victoria,3,13,2
1991,República Popular China,CHN,Fase de grupos,Victoria,4,14,1
1991,Nueva Zelanda,NZL,Fase de grupos,Derrota,1,14,2
1991,Brasil,BRA,Fase de grupos,Derrota,0,15,1
1991,Suecia,SWE,Fase de grupos,Victoria,2,15,2
1991,Noruega,NOR,Fase de grupos,Victoria,2,16,1
1991,Dinamarca,DEN,Fase de grupos,Derrota,1,16,2
1991,China Taipei,TPE,Fase de grupos,Victoria,2,17,1
1991,Nigeria,NGA,Fase de grupos,Derrota,0,17,2
1991,Italia,ITA,Fase de grupos,Derrota,0,18,1
1991,Alemania,GER,Fase de grupos,Victoria,1,18,2
1991,República Popular China,CHN,Cuartos de final,Derrota,0,19,1
1991,Suecia,SWE,Cuartos de final,Victoria,1,19,2
1991,Estados Unidos,USA,Cuartos de final,Victoria,7,20,1
1991,China Taipei,TPE,Cuartos de final,Derrota,0,20,2
1991,Dinamarca,DEN,Cuartos de final,Derrota,1,21,1
1991,Alemania,GER,Cuartos de final,Victoria,2,21,2
1991,Noruega,NOR,Cuartos de final,Victoria,3,22,1
1991,Italia,ITA,Cuartos de final,Derrota,2,22,2
1991,Alemania,GER,Semifinales,Derrota,2,23,1
1991,Estados Unidos,USA,Semifinales,Victoria,5,23,2
1991,Suecia,SWE,Semifinales,Derrota,1,24,1
1991,Noruega,NOR,Semifinales,Victoria,4,24,2
1991,Suecia,SWE,Tercer lugar,Victoria,4,25,1
1991,Alemania,GER,Tercer lugar,Derrota,0,25,2
1991,Noruega,NOR,Final,Derrota,1,26,1
1991,Estados Unidos,USA,Final,Victoria,2,26,2
1995,Alemania,GER,Fase de grupos,Victoria,1,1,1
1995,Japón,JPN,Fase de grupos,Derrota,0,1,2
1995,Suecia,SWE,Fase de grupos,Derrota,0,2,1
1995,Brasil,BRA,Fase de grupos,Victoria,1,2,2
1995,Noruega,NOR,Fase de grupos,Victoria,8,3,1
1995,Nigeria,NGA,Fase de grupos,Derrota,0,3,2
1995,Inglaterra,ENG,Fase de grupos,Victoria,3,4,1
1995,Canadá,CAN,Fase de grupos,Derrota,2,4,2
1995,Estados Unidos,USA,Fase de grupos,Empate,3,5,1
1995,República Popular China,CHN,Fase de grupos,Empate,3,5,2
1995,Dinamarca,DEN,Fase de grupos,Victoria,5,6,1
1995,Australia,AUS,Fase de grupos,Derrota,0,6,2
1995,Suecia,SWE,Fase de grupos,Victoria,3,7,1
1995,Alemania,GER,Fase de grupos,Derrota,2,7,2
1995,Brasil,BRA,Fase de grupos,Derrota,1,8,1
1995,Japón,JPN,Fase de grupos,Victoria,2,8,2
1995,Noruega,NOR,Fase de grupos,Victoria,2,9,1
1995,Inglaterra,ENG,Fase de grupos,Derrota,0,9,2
1995,Nigeria,NGA,Fase de grupos,Empate,3,10,1
1995,Canadá,CAN,Fase de grupos,Empate,3,10,2
