id_estacion,lon,lat,capacidad
358,-58.4655255,-34.5615465,12
421,-58.4438699,-34.5419013,12
414,-58.4383041,-34.607731,20
84,-58.3955144,-34.6023203,20
154,-58.4122849,-34.6005484,20
231,-58.4458398,-34.6051305,16
292,-58.378109,-34.634796,20
425,-58.422091,-34.6440763,16
144,-58.4060944,-34.6018744,20
416,-58.469072,-34.5532664,28
58,-58.4346883,-34.5752773,20
64,-58.3941087,-34.5936508,20
111,-58.3646858,-34.6054877,30
230,-58.4645037,-34.5678255,16
94,-58.449652,-34.591511,30
106,-58.3958827,-34.6152509,20
173,-58.3751607,-34.6222964,16
220,-58.4279173,-34.6354717,16
236,-58.4550484,-34.5623422,16
275,-58.4585729,-34.5619095,20
424,-58.399683,-34.638584,16
175,-58.3809349,-34.6267408,36
185,-58.42177,-34.63133,20
137,-58.3674923,-34.6155977,20
317,-58.4578146,-34.5797368,20
320,-58.440073,-34.584058,20
47,-58.3733149,-34.6117408,16
262,-58.4673963,-34.60962,16
65,-58.4157873,-34.5873124,20
417,-58.3880338,-34.6053524,20
434,-58.4650865,-34.5457258,12
124,-58.411965,-34.580538,20
167,-58.4485709,-34.6070594,16
356,-58.4584684,-34.547695,16
305,-58.44487,-34.612684,16
327,-58.419928,-34.654386,16
229,-58.4514575,-34.5813811,12
339,-58.45471,-34.61938,16
248,-58.4742812,-34.5738411,20
279,-58.4047854,-34.6074177,20
268,-58.4764172,-34.550293,28
245,-58.4431506,-34.5522044,16
407,-58.479977,-34.641773,27
143,-58.415807,-34.604709,20
330,-58.47,-34.6008,16
87,-58.4314942,-34.619845,16
226,-58.4132263,-34.633335,20
429,-58.4078361,-34.6522282,20
60,-58.371079,-34.6016509,20
203,-58.356004,-34.628511,24
177,-58.41208,-34.5680151,12
191,-58.3808358,-34.6079305,16
224,-58.434484,-34.5808537,20
32,-58.3735984,-34.6072074,16
184,-58.3913419,-34.6306129,20
412,-58.4411434,-34.6626285,16
171,-58.3997553,-34.6032813,20
418,-58.4446136,-34.580773,20
30,-58.3973698,-34.5908211,20
7,-58.381098,-34.606498,16
257,-58.481233,-34.570829,24
86,-58.4016808,-34.6212681,20
411,-58.4769856,-34.6385808,12
52,-58.414851,-34.606682,20
296,-58.462547,-34.632961,16
238,-58.4367011,-34.6365814,24
374,-58.4573968,-34.645764,16
394,-58.462646,-34.649578,20
15,-58.3636706,-34.6004,20
223,-58.424895,-34.623456,16
293,-58.4324405,-34.6264943,16
399,-58.446273,-34.6340414,20
246,-58.4389256,-34.554326,16
325,-58.416547,-34.645252,16
272,-58.4668651,-34.5883744,20
249,-58.388562,-34.649843,16
383,-58.489026,-34.571621,20
5,-58.4209542,-34.5805497,42
240,-58.465559,-34.558137,24
328,-58.397354,-34.598549,16
9,-58.407741,-34.585443,24
135,-58.3787856,-34.5972818,20
415,-58.4637146,-34.6203961,20
442,-58.371607,-34.6056194,16
207,-58.420906,-34.5852485,20
390,-58.459881,-34.547758,20
213,-58.4425362,-34.5995649,20
324,-58.4840556,-34.578933,16
378,-58.468287,-34.623123,20
162,-58.401924,-34.608985,20
181,-58.4120394,-34.5927221,20
233,-58.4360367,-34.5539765,24
