id,id_conversacion,creado_en,fecha,hora,huso_horario,id_usuario,nombre_usuario,nombre,lugar,tweet,etiquetas,respuestas,menciones,urls,fotos,cantidad_respuestas,cantidad_retweets,cantidad_likes,ubucacion,hashtags,enlaces,retweet,url_gif,muestra_gif,url_video,muestra_video,estado_es_cita,id_cita,url_cita,es_respuesta_a,tiene_tweet_padre
1178665808886714400,1178665808886714400,1569850802000,2019-09-30,10:40:02,Argentina Standard Time,54482107,s_bravo,Sebastián Bravo N.,NA,Hey @pachamaltese.. Aun está abierta la ronda de preguntas de tu presentación en el #LatinR2019? jajaja,[],"[{'id': 54482107, 'id_str': '54482107', 'screen_name': 'S_bravo'}, {'id': 2300614526, 'id_str': '2300614526', 'screen_name': 'pachamaltese'}]",['pachamaltese'],[],[],1,0,0,NA,['#latinr2019'],https://twitter.com/S_bravo/status/1178665808886714373,NA,NA,NA,NA,NA,0,0,NA,0,0
1178657372094582800,1178657372094582800,1569848790000,2019-09-30,10:06:30,Argentina Standard Time,108979413,patriloto,Patricia Loto,NA,"En #LatinR2019 también estuvo parte del equipo de  @datasketch  contando sobre su proyecto de desarrollo #SavetheData, el cual consistí en una app web open source para limpiar y visualizar datos. Utilizaron #Rstats #highcharter #rstatses pic.twitter.com/W4ViRMnVIR",[],"[{'id': 108979413, 'id_str': '108979413', 'screen_name': 'patriloto'}, {'id': 3416359102, 'id_str': '3416359102', 'screen_name': 'datasketch'}]",['datasketch'],[],"['https://pbs.twimg.com/media/EFtunaQXYAgIMAB.jpg', 'https://pbs.twimg.com/media/EFtunaXXUAAS5xe.jpg', 'https://pbs.twimg.com/media/EFtunaaX0AA8SnT.jpg', 'https://pbs.twimg.com/media/EFtunaYXoAAp8_K.jpg']",0,4,3,NA,"['#latinr2019', '#savethedata', '#rstats', '#highcharter', '#rstatses']",https://twitter.com/patriloto/status/1178657372094582785,NA,NA,NA,NA,NA,0,0,NA,0,0
1.1786298876173599e+018,1.1786298876173599e+018,1569842237000,2019-09-30,08:17:17,Argentina Standard Time,2603351582,harpolabs,Harpo Labs,NA,Our poster on how to visualize text patterns applied to network security presented at #latinR2019. Thanks @anadiedrichs  for the picture!!! pic.twitter.com/o6d5m8B82W,[],"[{'id': 2603351582, 'id_str': '2603351582', 'screen_name': 'harpolabs'}, {'id': 219330417, 'id_str': '219330417', 'screen_name': 'anadiedrichs'}]",['anadiedrichs'],[],['https://pbs.twimg.com/media/EFtVoYpXYAc0JZt.jpg'],0,0,2,NA,['#latinr2019'],https://twitter.com/harpolabs/status/1178629887617359872,NA,NA,NA,NA,NA,0,0,NA,0,0
1178612010965241900,1178612010965241900,1569837975000,2019-09-30,07:06:15,Argentina Standard Time,400694446,yabellini,Yanina Bellini Saibene,NA,Mas paquetes que procesan y utilizan los datos de los radares meteorológicos #AgTech #LatinR2019 👏👏👏 a @PaobCorrales su autora. https://twitter.com/PaobCorrales/status/1178407192602578944 …,[],"[{'id': 400694446, 'id_str': '400694446', 'screen_name': 'yabellini'}, {'id': 221697607, 'id_str': '221697607', 'screen_name': 'PaobCorrales'}]",['paobcorrales'],['https://twitter.com/PaobCorrales/status/1178407192602578944'],[],1,3,5,NA,"['#agtech', '#latinr2019']",https://twitter.com/yabellini/status/1178612010965241857,NA,NA,NA,NA,NA,1,1178407192602579e3,https://twitter.com/PaobCorrales/status/1178407192602578944,0,0
1178565717551128600,1178565717551128600,1569826938000,2019-09-30,04:02:18,Argentina Standard Time,348740352,juditdediego,Judit(h) de Diego,NA,No hay mejor noticia para empezar la semana y celebrar el #DíadelaTraducción: ya está disponible en español #RCienciaparadatos. Gracias a todo el equipo de traducción por el trabajazo que han hecho.👌#LatinR2019 #R4DS https://twitter.com/minebocek/status/1177675044501114880 …,[],"[{'id': 348740352, 'id_str': '348740352', 'screen_name': 'JuditdeDiego'}]",[],['https://twitter.com/minebocek/status/1177675044501114880'],[],0,0,3,NA,"['#díadelatraducción', '#rcienciaparadatos', '#latinr2019', '#r4ds']",https://twitter.com/JuditdeDiego/status/1178565717551128576,NA,NA,NA,NA,NA,1,1177675044501115e3,https://twitter.com/minebocek/status/1177675044501114880,0,0
1178500874198552600,1178500874198552600,1569811478000,2019-09-29,23:44:38,Argentina Standard Time,108979413,patriloto,Patricia Loto,NA,"Otra de mis presentaciones favoritas en #LatinR2019 fue la del @TuQmano, quién desarrolló una app que permite visualizar las elecciones presidenciales de Argentina de 2015 a 2019. https://twitter.com/TuQmano/status/1177325234854268928 …",[],"[{'id': 108979413, 'id_str': '108979413', 'screen_name': 'patriloto'}, {'id': 160083636, 'id_str': '160083636', 'screen_name': 'TuQmano'}]",['tuqmano'],['https://twitter.com/TuQmano/status/1177325234854268928'],[],1,1,4,NA,['#latinr2019'],https://twitter.com/patriloto/status/1178500874198552576,NA,NA,NA,NA,NA,1,1177325234854269e3,https://twitter.com/TuQmano/status/1177325234854268928,0,0
1178499444901339100,1178499444901339100,1569811137000,2019-09-29,23:38:57,Argentina Standard Time,102170021,andres_schz,Andrés Sánchez,NA,👇traducción al español de “R for Data Science” #LatinR2019 #rstats https://twitter.com/R4DS_es/status/1178477903987777536 …,[],"[{'id': 102170021, 'id_str': '102170021', 'screen_name': 'andres_schz'}]",[],['https://twitter.com/R4DS_es/status/1178477903987777536'],[],0,2,2,NA,"['#latinr2019', '#rstats']",https://twitter.com/andres_schz/status/1178499444901339136,NA,NA,NA,NA,NA,1,1178477903987777500,https://twitter.com/R4DS_es/status/1178477903987777536,0,0
1178488816019083300,1178488816019083300,1569808603000,2019-09-29,22:56:43,Argentina Standard Time,108979413,patriloto,Patricia Loto,NA,"Aunque no soy bióloga, una de mis presentaciones favoritas en #LatinR2019 fue la de @javierfajnolla, mostrando una shiny app para evaluar escenarios de cambio climático. Tremendo trabajo realizó  🤓 https://twitter.com/LatinR_Conf/status/1177594167163273216 …",[],"[{'id': 108979413, 'id_str': '108979413', 'screen_name': 'patriloto'}, {'id': 300469942, 'id_str': '300469942', 'screen_name': 'javierfajnolla'}]",['javierfajnolla'],['https://twitter.com/LatinR_Conf/status/1177594167163273216'],[],0,1,7,NA,['#latinr2019'],https://twitter.com/patriloto/status/1178488816019083264,NA,NA,NA,NA,NA,1,1177594167163273200,https://twitter.com/LatinR_Conf/status/1177594167163273216,0,0
1178477340558549e3,1178477340558549e3,1569805867000,2019-09-29,22:11:07,Argentina Standard Time,54482107,s_bravo,Sebastián Bravo N.,NA,Había oído del proyecto Jupyter y lo escuche varias veces en el #LatinR2019. La verdad no le veo ventaja vs tener un servidor propio en R.   ¿Alguien con más know how me puede orientar?,[],"[{'id': 54482107, 'id_str': '54482107', 'screen_name': 'S_bravo'}]",[],[],[],0,0,0,NA,['#latinr2019'],https://twitter.com/S_bravo/status/1178477340558548992,NA,NA,NA,NA,NA,0,0,NA,0,0
1178467885993336800,1178467885993336800,1569803613000,2019-09-29,21:33:33,Argentina Standard Time,988920586750619600,rocio_joo,Rocío Joo,NA,"Aquí un hilo sobre mi visita a Santiago, para #LatinR2019 #rstatsES pic.twitter.com/WnXQw5qHo5",[],"[{'id': 988920586750619649, 'id_str': '988920586750619649', 'screen_name': 'rocio_joo'}]",[],[],['https://pbs.twimg.com/media/EFrCRjOWsAAT7TJ.jpg'],1,2,5,NA,"['#latinr2019', '#rstatses']",https://twitter.com/rocio_joo/status/1178467885993336832,NA,NA,NA,NA,NA,0,0,NA,0,0
