id_estacion,lat,lon,elevacion,nombre,pais,provincia,institucion
10001,-22.1,-65.6,3459,LA QUIACA,Argentina,Jujuy,Servicio Meteorológico Nacional
10011,-24.7,-60.58,130,LAS LOMITAS,Argentina,Formosa,Servicio Meteorológico Nacional
10012,-24.85,-65.48,1221,SALTA AERO,Argentina,SALTA,Servicio Meteorológico Nacional
10062,-27.77,-64.3,199,SANTIAGO DEL ESTERO AERO,Argentina,Santiago del Estero,Servicio Meteorológico Nacional
10077,-29.38,-66.82,429,LA RIOJA AERO,Argentina,La Rioja,Servicio Meteorológico Nacional
10081,-29.88,-61.95,88,CERES AERO,Argentina,Santa Fe,Servicio Meteorológico Nacional
10082,-29.9,-63.68,341,VILLA MARIA DEL RIO SECO,Argentina,Córdoba,Servicio Meteorológico Nacional
10087,-30.27,-57.65,54,MONTE CASEROS AERO,Argentina,Corrientes,Servicio Meteorológico Nacional
10100,-31.32,-64.22,474,CORDOBA AERO,Argentina,Córdoba,Servicio Meteorológico Nacional
10105,-31.4,-64.18,425,CORDOBA OBSERVATORIO,Argentina,Córdoba,Servicio Meteorológico Nacional
10111,-31.67,-63.88,338,PILAR,Argentina,Córdoba,Servicio Meteorológico Nacional
10113,-31.78,-60.48,78,PARANA AERO,Argentina,Entre Ríos,Servicio Meteorológico Nacional
10114,-31.83,-60.52,110,PARANA INTA,Argentina,Entre Ríos,Servicio Meteorológico Nacional
10117,-31.95,-65.13,569,VILLA DOLORES AERO,Argentina,Córdoba,Servicio Meteorológico Nacional
10131,-32.83,-68.78,704,MENDOZA AERO,Argentina,Mendoza,Servicio Meteorológico Nacional
10132,-32.88,-68.85,827,MENDOZA OBSERVATORIO,Argentina,Mendoza,Servicio Meteorológico Nacional
10133,-32.92,-60.78,25,ROSARIO AERO,Argentina,Santa Fe,Servicio Meteorológico Nacional
10134,-33,-58.62,21,GUALEGUAYCHU AERO,Argentina,Entre Ríos,Servicio Meteorológico Nacional
10138,-33.12,-64.23,421,RIO CUARTO AERO,Argentina,Córdoba,Servicio Meteorológico Nacional
10139,-33.27,-66.35,713,SAN LUIS AERO,Argentina,San Luis,Servicio Meteorológico Nacional
10145,-33.93,-60.55,65,PERGAMINO INTA,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10148,-34.13,-63.37,137,LABOULAYE AERO,Argentina,Córdoba,Servicio Meteorológico Nacional
10156,-34.58,-58.48,25,BUENOS AIRES,Argentina,Capital Federal,Servicio Meteorológico Nacional
10159,-34.6,-58.6,12,EL PALOMAR AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10166,-34.82,-58.53,20,EZEIZA AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10170,-34.97,-57.9,19,LA PLATA AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10177,-35.37,-57.28,22,PUNTA INDIO AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10178,-35.45,-60.88,76,NUEVE DE JULIO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10179,-35.5,-69.58,1425,MALARGUE AERO,Argentina,Mendoza,Servicio Meteorológico Nacional
10190,-36.35,-57.73,9,DOLORES AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10192,-36.57,-64.27,191,SANTA ROSA AERO,Argentina,La Pampa,Servicio Meteorológico Nacional
10204,-37.43,-61.88,233,CORONEL SUAREZ AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10205,-37.57,-60.77,212,LAPRIDA,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10206,-37.6,-62.38,304,PIGUE AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10210,-37.93,-57.58,21,MAR DEL PLATA,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10221,-38.73,-62.17,83,BAHIA BLANCA AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10227,-38.95,-68.13,271,NEUQUEN AERO,Argentina,Neuquén,Servicio Meteorológico Nacional
10309,-29.18,-59.7,53,RECONQUISTA AERO,Argentina,Santa Fe,Servicio Meteorológico Nacional
10311,-37.23,-59.25,175,TANDIL AERO,Argentina,Buenos Aires,Servicio Meteorológico Nacional
10325,-34.58,-68.4,748,SAN RAFAEL AERO,Argentina,Mendoza,Servicio Meteorológico Nacional
10332,-34.57,-58.42,6,AEROPARQUE B. AIRES AERO,Argentina,Capital Federal,Servicio Meteorológico Nacional
10334,-35.7,-63.75,145,GENERAL PICO AERO,Argentina,La Pampa,Servicio Meteorológico Nacional
10335,-33.73,-65.38,486,VILLA REYNOLDS AERO,Argentina,San Luis,Servicio Meteorológico Nacional
10339,-23.15,-64.32,357,ORAN AERO,Argentina,Salta,Servicio Meteorológico Nacional
10346,-29.68,-57.15,70,PASO DE LOS LIBRES AERO,Argentina,Corrientes,Servicio Meteorológico Nacional
