ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
1,The Shawshank Redemption,1994,9.3,Drama,2011509,Frank Darabont,142,28.34
2,The Dark Knight,2008,9,"Acción, Crimen, Drama",1980200,Christopher Nolan,152,534.86
3,Inception,2010,8.8,"Acción, Aventura, Ciencia Ficción",1760209,Christopher Nolan,148,292.58
4,Fight Club,1999,8.8,Drama,1609459,David Fincher,139,37.03
5,Pulp Fiction,1994,8.9,"Crimen, Drama",1570194,Quentin Tarantino,154,107.93
6,Forrest Gump,1994,8.8,"Drama, Romántica",1532024,Robert Zemeckis,142,330.25
7,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Aventura, Drama, Fantasía",1448561,Peter Jackson,178,315.54
8,The Matrix,1999,8.7,"Acción, Ciencia Ficción",1443130,Lana Wachowski,136,171.48
9,The Lord of the Rings: The Return of the King,2003,8.9,"Acción, Aventura, Drama",1431887,Peter Jackson,201,377.85
10,The Godfather,1972,9.2,"Crimen, Drama",1378253,Francis Ford Coppola,175,134.97
11,The Dark Knight Rises,2012,8.4,"Acción, Suspenso",1338413,Christopher Nolan,164,448.14
12,The Lord of the Rings: The Two Towers,2002,8.7,"Aventura, Drama, Fantasía",1294351,Peter Jackson,179,342.55
13,Se7en,1995,8.6,"Crimen, Drama, Misterio",1229411,David Fincher,127,100.13
14,Interstellar,2014,8.6,"Aventura, Drama, Ciencia Ficción",1223159,Christopher Nolan,169,188.02
15,Gladiator,2000,8.5,"Acción, Aventura, Drama",1162557,Ridley Scott,155,187.71
16,Django Unchained,2012,8.4,"Drama, Oeste",1159647,Quentin Tarantino,165,162.81
17,Batman Begins,2005,8.3,"Acción, Aventura, Suspenso",1150820,Christopher Nolan,140,206.85
18,Avengers Assemble,2012,8.1,"Acción, Aventura, Ciencia Ficción",1130818,Joss Whedon,143,623.36
19,Star Wars: Episode IV - A New Hope,1977,8.6,"Acción, Aventura, Fantasía",1080484,George Lucas,121,322.74
20,The Silence of the Lambs,1991,8.6,"Crimen, Drama, Suspenso",1079027,Jonathan Demme,118,130.74
21,Inglourious Basterds,2009,8.3,"Aventura, Drama, Guerra",1072040,Quentin Tarantino,153,120.54
22,Saving Private Ryan,1998,8.6,"Drama, Guerra",1060126,Steven Spielberg,169,216.54
