pais,casos,muertes,fecha_actualizacion
Alemania,505,0,2009-07-06
Alemania,470,0,2009-07-03
Alemania,417,0,2009-07-01
Alemania,366,0,2009-06-29
Alemania,333,0,2009-06-26
Alemania,301,0,2009-06-24
Alemania,275,0,2009-06-22
Alemania,238,0,2009-06-19
Alemania,195,0,2009-06-17
Alemania,170,0,2009-06-15
Alemania,95,0,2009-06-12
Alemania,95,0,2009-06-11
Alemania,78,0,2009-06-10
Alemania,63,0,2009-06-08
Alemania,43,0,2009-06-05
Alemania,28,0,2009-06-03
Alemania,28,0,2009-06-01
Alemania,19,0,2009-05-29
Alemania,17,0,2009-05-27
Alemania,17,0,2009-05-26
Alemania,17,0,2009-05-25
Alemania,17,0,2009-05-23
Algeria,5,0,2009-07-06
Algeria,5,0,2009-07-03
Algeria,2,0,2009-07-01
Algeria,2,0,2009-06-29
Algeria,2,0,2009-06-26
Algeria,2,0,2009-06-24
Algeria,1,0,2009-06-22
Antigua y Barbuda,2,0,2009-07-06
Antigua y Barbuda,2,0,2009-07-03
Antigua y Barbuda,2,0,2009-07-01
Antigua y Barbuda,2,0,2009-06-29
Antigua y Barbuda,2,0,2009-06-26
Antigua y Barbuda,2,0,2009-06-24
Arabia Saudita,114,0,2009-07-06
Arabia Saudita,89,0,2009-07-03
Arabia Saudita,81,0,2009-07-01
Arabia Saudita,69,0,2009-06-29
Arabia Saudita,48,0,2009-06-26
Arabia Saudita,45,0,2009-06-24
Arabia Saudita,35,0,2009-06-22
Arabia Saudita,22,0,2009-06-19
Arabia Saudita,17,0,2009-06-17
Arabia Saudita,11,0,2009-06-15
Arabia Saudita,1,0,2009-06-12
Arabia Saudita,1,0,2009-06-11
Arabia Saudita,1,0,2009-06-10
Arabia Saudita,1,0,2009-06-08
Arabia Saudita,1,0,2009-06-05
Argentina,2485,60,2009-07-06
Argentina,1587,26,2009-07-03
Argentina,1587,26,2009-07-01
Argentina,1488,23,2009-06-29
Argentina,1391,21,2009-06-26
Argentina,1213,7,2009-06-24
Argentina,1010,7,2009-06-22
Argentina,918,4,2009-06-19
Argentina,733,1,2009-06-17
Argentina,343,0,2009-06-15
Argentina,343,0,2009-06-12
Argentina,256,0,2009-06-11
Argentina,235,0,2009-06-10
Argentina,202,0,2009-06-08
Argentina,147,0,2009-06-05
Argentina,131,0,2009-06-03
Argentina,100,0,2009-06-01
Argentina,37,0,2009-05-29
Argentina,19,0,2009-05-27
Argentina,5,0,2009-05-26
Argentina,2,0,2009-05-25
Argentina,1,0,2009-05-23
Aruba,5,0,2009-07-06
Aruba,5,0,2009-07-03
Australia,5298,10,2009-07-06
Australia,4568,9,2009-07-03
Australia,4090,7,2009-07-01
Australia,4038,7,2009-06-29
Australia,3280,3,2009-06-26
Australia,2857,2,2009-06-24
Australia,2436,1,2009-06-22
Australia,2199,0,2009-06-19
Australia,2112,0,2009-06-17
Australia,1823,0,2009-06-15
Australia,1307,0,2009-06-12
Australia,1307,0,2009-06-11
Australia,1224,0,2009-06-10
Australia,1051,0,2009-06-08
Australia,876,0,2009-06-05
Australia,501,0,2009-06-03
Australia,297,0,2009-06-01
Australia,147,0,2009-05-29
Australia,39,0,2009-05-27
Australia,19,0,2009-05-26
Australia,16,0,2009-05-25
Australia,12,0,2009-05-23
Austria,19,0,2009-07-06
Austria,15,0,2009-07-03
Austria,15,0,2009-07-01
Austria,12,0,2009-06-29
Austria,12,0,2009-06-26
Austria,12,0,2009-06-24
Austria,9,0,2009-06-22
Austria,8,0,2009-06-19
Austria,7,0,2009-06-17
Austria,7,0,2009-06-15
Austria,7,0,2009-06-12
Austria,7,0,2009-06-11
Austria,5,0,2009-06-10
Austria,5,0,2009-06-08
Austria,2,0,2009-06-05
Austria,1,0,2009-06-03
Austria,1,0,2009-06-01
Austria,1,0,2009-05-29
Austria,1,0,2009-05-27
Austria,1,0,2009-05-26
Austria,1,0,2009-05-25
Austria,1,0,2009-05-23
Bahamas,7,0,2009-07-06
Bahamas,6,0,2009-07-03
Bahamas,6,0,2009-07-01
Bahamas,4,0,2009-06-29
Bahamas,4,0,2009-06-26
Bahamas,4,0,2009-06-24
Bahamas,2,0,2009-06-22
Bahamas,2,0,2009-06-19
Bahamas,2,0,2009-06-17
Bahamas,1,0,2009-06-15
Bahamas,1,0,2009-06-12
Bahamas,1,0,2009-06-11
Bahamas,2,0,2009-06-10
Bahamas,1,0,2009-06-08
Bahamas,1,0,2009-06-05
Bahamas,1,0,2009-06-03
Bahamas,1,0,2009-06-01
Bahrain,15,0,2009-07-06
Bahrain,15,0,2009-07-03
Bahrain,15,0,2009-07-01
Bahrain,15,0,2009-06-29
Bahrain,15,0,2009-06-26
Bahrain,15,0,2009-06-24
Bahrain,15,0,2009-06-22
Bahrain,12,0,2009-06-19
Bahrain,12,0,2009-06-17
Bahrain,1,0,2009-06-15
Bahrain,1,0,2009-06-12
Bahrain,1,0,2009-06-11
Bahrain,1,0,2009-06-10
Bahrain,1,0,2009-06-08
Bahrain,1,0,2009-06-05
Bahrain,1,0,2009-06-03
Bahrain,1,0,2009-06-01
Bahrain,1,0,2009-05-29
Bahrain,1,0,2009-05-27
Bailía de Jersey,1,0,2009-06-17
Bangladesh,18,0,2009-07-06
Bangladesh,12,0,2009-07-03
Bangladesh,1,0,2009-07-01
Bangladesh,1,0,2009-06-29
Bangladesh,1,0,2009-06-26
Bangladesh,1,0,2009-06-24
Bangladesh,1,0,2009-06-22
Barbados,12,0,2009-07-06
Barbados,12,0,2009-07-03
Barbados,10,0,2009-07-01
Barbados,10,0,2009-06-29
Barbados,10,0,2009-06-26
Barbados,5,0,2009-06-24
Barbados,4,0,2009-06-22
Barbados,4,0,2009-06-19
Barbados,3,0,2009-06-17
Barbados,3,0,2009-06-15
Barbados,3,0,2009-06-12
Barbados,3,0,2009-06-11
Barbados,2,0,2009-06-10
Barbados,2,0,2009-06-08
Barbados,1,0,2009-06-05
Bélgica,54,0,2009-07-06
Bélgica,49,0,2009-07-03
Bélgica,47,0,2009-07-01
Bélgica,43,0,2009-06-29
Bélgica,36,0,2009-06-26
Bélgica,30,0,2009-06-24
Bélgica,29,0,2009-06-22
Bélgica,19,0,2009-06-19
Bélgica,19,0,2009-06-17
Bélgica,17,0,2009-06-15
Bélgica,14,0,2009-06-12
Bélgica,14,0,2009-06-11
Bélgica,14,0,2009-06-10
Bélgica,14,0,2009-06-08
Bélgica,13,0,2009-06-05
Bélgica,13,0,2009-06-03
Bélgica,12,0,2009-06-01
Bélgica,8,0,2009-05-29
Bélgica,7,0,2009-05-27
Bélgica,7,0,2009-05-26
Bélgica,7,0,2009-05-25
Bélgica,7,0,2009-05-23
Bermuda,1,0,2009-07-06
Bermuda,1,0,2009-07-03
Bermuda,1,0,2009-07-01
Bermuda,1,0,2009-06-29
Bermuda,1,0,2009-06-26
Bermuda,1,0,2009-06-24
Bermuda,1,0,2009-06-22
Bermuda,1,0,2009-06-19
Bermuda,1,0,2009-06-17
Bolivia,416,0,2009-07-06
Bolivia,283,0,2009-07-03
Bolivia,205,0,2009-07-01
Bolivia,126,0,2009-06-29
Bolivia,47,0,2009-06-26
Bolivia,44,0,2009-06-24
Bolivia,25,0,2009-06-22
Bolivia,11,0,2009-06-19
Bolivia,11,0,2009-06-17
Bolivia,7,0,2009-06-15
Bolivia,5,0,2009-06-12
Bolivia,5,0,2009-06-11
Bolivia,3,0,2009-06-10
Bolivia,3,0,2009-06-08
Bolivia,3,0,2009-06-05
Bolivia,3,0,2009-06-03
Bolivia,3,0,2009-06-01
Bosnia y Herzegovina,1,0,2009-07-06
Bosnia y Herzegovina,1,0,2009-07-03
Brasil,737,1,2009-07-06
Brasil,737,1,2009-07-03
Brasil,680,1,2009-07-01
Brasil,452,0,2009-06-29
Brasil,399,0,2009-06-26
Brasil,334,0,2009-06-24
Brasil,131,0,2009-06-22
Brasil,96,0,2009-06-19
Brasil,79,0,2009-06-17
Brasil,54,0,2009-06-15
Brasil,52,0,2009-06-12
Brasil,40,0,2009-06-11
Brasil,36,0,2009-06-10
Brasil,35,0,2009-06-08
Brasil,28,0,2009-06-05
Brasil,20,0,2009-06-03
Brasil,18,0,2009-06-01
Brasil,10,0,2009-05-29
Brasil,9,0,2009-05-27
Brasil,9,0,2009-05-26
Brasil,9,0,2009-05-25
Brasil,8,0,2009-05-23
Brunei Darussalam,124,0,2009-07-06
Brunei Darussalam,85,0,2009-07-03
Brunei Darussalam,29,0,2009-07-01
Brunei Darussalam,29,0,2009-06-29
Brunei Darussalam,11,0,2009-06-26
Brunei Darussalam,4,0,2009-06-24
Brunei Darussalam,1,0,2009-06-22
Bulgaria,10,0,2009-07-06
Bulgaria,10,0,2009-07-03
Bulgaria,10,0,2009-07-01
Bulgaria,7,0,2009-06-29
Bulgaria,7,0,2009-06-26
Bulgaria,5,0,2009-06-24
Bulgaria,2,0,2009-06-22
Bulgaria,2,0,2009-06-19
Bulgaria,2,0,2009-06-17
Bulgaria,2,0,2009-06-15
Bulgaria,2,0,2009-06-12
Bulgaria,2,0,2009-06-11
Bulgaria,2,0,2009-06-10
Bulgaria,2,0,2009-06-08
Bulgaria,1,0,2009-06-05
Bulgaria,1,0,2009-06-03
Cabo Verde,3,0,2009-07-06
Cabo Verde,3,0,2009-07-03
Cabo Verde,3,0,2009-07-01
Cabo Verde,3,0,2009-06-29
Cabo Verde,3,0,2009-06-26
Cabo Verde,3,0,2009-06-24
Cambodia,7,0,2009-07-06
Cambodia,7,0,2009-07-03
Cambodia,6,0,2009-07-01
Cambodia,6,0,2009-06-29
Cambodia,5,0,2009-06-26
Cambodia,1,0,2009-06-24
Canadá,7983,25,2009-07-06
Canadá,7983,25,2009-07-03
Canadá,7983,25,2009-07-01
Canadá,7775,21,2009-06-29
Canadá,6732,19,2009-06-26
Canadá,6457,15,2009-06-24
Canadá,5710,13,2009-06-22
Canadá,4905,12,2009-06-19
Canadá,4049,7,2009-06-17
Canadá,2978,4,2009-06-15
Canadá,2978,4,2009-06-12
Canadá,2446,4,2009-06-11
Canadá,2446,4,2009-06-10
Canadá,2115,3,2009-06-08
Canadá,1795,3,2009-06-05
Canadá,1530,2,2009-06-03
Canadá,1336,2,2009-06-01
Canadá,1118,2,2009-05-29
Canadá,921,1,2009-05-27
Canadá,921,1,2009-05-26
Canadá,805,1,2009-05-25
Canadá,719,1,2009-05-23
Chile,7376,14,2009-07-06
Chile,7376,14,2009-07-03
Chile,6211,12,2009-07-01
Chile,5186,7,2009-06-29
Chile,5186,7,2009-06-26
Chile,4315,4,2009-06-24
Chile,4315,4,2009-06-22
Chile,3125,2,2009-06-19
Chile,2335,2,2009-06-17
Chile,1694,2,2009-06-15
Chile,1694,2,2009-06-12
Chile,1694,2,2009-06-11
Chile,1694,2,2009-06-10
Chile,411,1,2009-06-08
Chile,369,1,2009-06-05
Chile,313,0,2009-06-03
Chile,250,0,2009-06-01
Chile,165,0,2009-05-29
Chile,86,0,2009-05-27
Chile,74,0,2009-05-26
Chile,44,0,2009-05-25
Chile,24,0,2009-05-23
China,2040,0,2009-07-06
China,1814,0,2009-07-03
China,1518,0,2009-07-01
China,1442,0,2009-06-29
China,1089,0,2009-06-26
China,906,0,2009-06-24
China,739,0,2009-06-22
China,519,0,2009-06-19
China,382,0,2009-06-17
China,318,0,2009-06-15
China,188,0,2009-06-12
China,174,0,2009-06-11
China,142,0,2009-06-10
China,108,0,2009-06-08
China,89,0,2009-06-05
China,69,0,2009-06-03
China,52,0,2009-06-01
China,30,0,2009-05-29
China,22,0,2009-05-27
China,20,0,2009-05-26
China,15,0,2009-05-25
China,11,0,2009-05-23
Chipre,109,0,2009-07-06
Chipre,70,0,2009-07-03
Chipre,48,0,2009-07-01
Chipre,25,0,2009-06-29
Chipre,9,0,2009-06-26
Chipre,5,0,2009-06-24
Chipre,4,0,2009-06-22
Chipre,1,0,2009-06-19
Chipre,1,0,2009-06-17
Chipre,1,0,2009-06-15
Chipre,1,0,2009-06-12
Chipre,1,0,2009-06-11
Chipre,1,0,2009-06-10
Chipre,1,0,2009-06-08
Chipre,1,0,2009-06-05
Chipre,1,0,2009-06-03
Chipre,1,0,2009-06-01
Colombia,118,2,2009-07-06
Colombia,101,2,2009-07-03
Colombia,93,2,2009-07-01
Colombia,88,2,2009-06-29
Colombia,72,2,2009-06-26
Colombia,71,2,2009-06-24
Colombia,71,2,2009-06-22
Colombia,60,1,2009-06-19
Colombia,53,1,2009-06-17
Colombia,42,1,2009-06-15
Colombia,35,1,2009-06-12
Colombia,35,1,2009-06-11
Colombia,35,0,2009-06-10
